OP,A1,A2
+,4268,6242
+,14012,18338
+,12896,16838
+,7752,4329
+,17535,19030
+,1932,11829
+,11694,15545
+,17852,15484
+,18424,1113
+,6535,5884
-,691,0
+,679,16674
+,14177,5284
+,7964,10511
-,296,0
+,15123,12092
+,1620,807
+,5891,12509
+,2510,13447
+,14549,6269
-,978,0
+,9062,8624
+,9447,19214
+,14277,18128
+,7735,2303
+,11975,4505
+,19974,10656
+,5106,19539
+,1700,2879
+,10430,10899
+,3895,10826
+,15336,15454
+,1318,3530
+,9796,8063
+,9458,51
+,5533,786
+,12880,1030
+,15488,88
+,394,4163
+,3060,17180
+,1964,4962
+,10885,392
+,10623,2835
+,6229,13093
+,7907,12798
+,17223,12440
+,1305,10414
+,8361,6413
+,12187,18969
+,13607,5626
+,4538,7736
+,12741,6997
+,5779,13424
+,2410,10618
+,10134,4085
+,2487,6047
+,14223,18394
+,7248,6506
+,6878,2722
+,14423,19928
+,4791,7131
+,3935,16740
+,2002,2318
-,891,0
+,9073,17322
+,7718,14678
+,2422,3797
+,74,1049
+,19493,14668
+,10586,7240
+,5469,5529
+,7050,8164
+,4632,3134
+,1861,17276
-,116,0
+,19996,15614
+,17633,17543
+,18837,15559
+,10824,17309
+,6536,10432
+,15556,18907
+,3067,7120
+,8965,14541
+,10367,7398
+,14027,12760
+,7630,272
+,16155,16181
+,6089,14680
-,227,0
+,17850,15066
+,12479,9846
+,19775,18460
+,899,7554
+,11165,15856
+,8079,7611
+,12215,11269
+,16702,3408
+,3473,19213
+,13724,12256
+,6968,7730
+,6136,18845
+,15830,365
+,7969,4240
+,16452,1555
+,11833,12713
+,16646,16012
+,4369,12692
+,6231,18527
+,5751,18140
+,15121,3105
+,16672,17286
+,8426,4680
+,1508,11670
+,10715,3335
+,4948,4603
-,655,0
+,11149,2021
+,6851,3071
+,10809,3504
+,19776,12880
+,14113,17024
+,73,16618
+,17776,10831
+,8657,8381
+,13072,210
+,5749,7261
+,1768,7766
+,18918,7528
+,12912,2184
+,15230,10805
+,10771,11979
+,2473,8199
+,17741,16428
+,9578,18221
+,12425,2077
+,2571,1290
+,15113,2262
+,5193,8197
+,17271,11934
+,2077,16475
+,8959,12875
+,10139,12000
+,19369,12919
+,6770,19627
+,9296,6430
+,5914,12144
+,763,13055
+,3606,5683
+,5715,5655
+,15558,2606
-,701,0
+,2765,1922
+,3932,17982
+,3700,10698
+,13785,16133
+,19116,1583
+,19032,6059
+,721,19812
+,13735,6478
+,12191,10503
+,1573,17609
+,11661,14956
+,7186,3625
+,16484,9670
+,7245,17482
+,15200,5359
+,13043,4090
+,15903,11820
+,19070,16054
+,7741,14937
+,4337,16533
+,7654,1311
+,14083,17392
+,17994,13802
+,18860,15555
+,6828,6252
+,1605,16679
-,691,0
-,932,0
+,11172,14936
+,16769,4221
+,9394,11502
+,7072,4530
+,16841,5042
+,3308,4312
+,9309,14192
+,4182,2173
+,10876,5500
+,8619,2906
+,16101,18013
+,15196,11413
+,17792,3584
+,19103,6434
+,10400,12152
+,8165,4315
+,18481,14346
+,18025,10632
+,7883,9925
+,5419,11187
+,11555,6191
+,4712,17043
+,18110,14988
+,3118,13183
+,6473,8068
+,4760,4891
+,9986,13106
+,16546,4330
+,6112,2445
+,3535,12991
-,770,0
+,18649,7352
+,6277,9354
+,19204,6400
+,14916,19421
+,4483,4263
+,8063,5302
+,15060,6893
+,16846,1249
+,10908,14880
+,14316,474
+,6779,19885
+,13056,16542
+,11283,2351
+,7639,9824
-,739,0
+,844,2032
+,7602,11869
+,17757,15303
+,4756,10733
+,12434,17386
+,5242,8575
+,10889,1218
+,9690,3382
+,19988,1677
+,2623,17826
+,8897,8102
+,16108,6697
+,7412,8903
+,17336,6969
+,6589,10938
+,17679,4722
+,8524,13828
+,1985,9562
+,386,2733
+,12323,12974
+,1231,18152
+,5183,6692
+,14788,92
+,7043,9585
+,11174,10632
+,3615,989
+,14596,10853
+,19562,4707
+,12687,5198
+,6849,10662
+,3056,13359
+,8147,19639
+,8896,16461
+,13478,19043
+,490,7350
+,9709,11825
+,18648,3977
+,19792,9519
+,8808,13333
-,231,0
+,3628,12573
+,17322,19416
+,7576,14201
+,3989,14643
+,14918,2707
+,13156,9458
+,12389,19201
+,5943,15537
+,15120,16636
+,14938,9458
+,6772,2526
+,12743,19054
+,10351,6156
+,19711,14540
+,8641,16803
+,10758,9239
+,13339,12996
+,4985,1485
+,8819,16226
-,288,0
+,8154,1209
+,14186,4756
+,6269,13960
+,476,18371
+,9545,11553
+,6404,1276
+,11574,13477
+,10177,8670
+,9240,15076
+,8251,17976
+,7832,14209
+,10380,16585
+,7798,8863
+,13567,3744
+,10440,1825
+,17178,11103
+,15600,9711
+,11074,18643
+,1497,2142
+,10842,19196
+,2386,19141
+,6717,3655
+,8811,5286
+,14479,9857
-,154,0
+,1344,5502
+,15479,11337
+,15022,16469
+,5020,2533
+,2785,3129
+,16378,18110
+,7228,3612
+,18062,14341
+,3330,5942
-,982,0
+,15750,4336
+,14579,17593
+,16471,11126
+,4495,7832
+,15148,15848
+,10043,10001
+,4728,16639
+,1562,11356
+,18291,18773
+,9122,11839
+,7300,9656
+,7522,16689
+,10195,7517
+,6856,19742
+,18140,8299
+,14155,17782
+,7268,1717
+,13983,17470
+,14307,19040
+,18427,2062
+,9118,506
+,14668,3091
+,11069,12070
+,16727,17324
+,2626,13869
+,4379,13107
+,14037,18446
+,11898,15044
+,11984,12023
+,11514,3364
+,13432,2268
+,2850,9625
+,11952,9928
+,3167,10255
+,17835,12320
+,5767,10070
+,5682,6816
+,12505,5845
+,13065,15145
+,4539,11658
+,9667,4498
+,15692,5657
-,826,0
+,16194,18287
+,14867,15758
+,5433,1104
+,12899,7415
+,378,3743
+,15004,11838
+,14006,19037
+,18285,3583
+,6209,9769
+,17221,8631
+,3808,10131
+,16345,10283
+,9865,10866
+,7781,2770
+,19534,3311
+,13763,11233
+,19402,15079
+,15979,16142
+,9286,18287
+,4878,352
+,7590,6764
+,6014,8407
+,9393,6605
+,12614,12681
+,14980,7961
-,124,0
+,7968,10915
+,19437,15068
+,19729,19119
+,8137,14792
+,13450,15431
+,9855,10158
+,11695,18242
+,19685,7516
+,4897,9012
+,3934,16216
+,18217,19621
+,17599,14423
+,10590,5832
+,5171,15461
+,9813,1447
+,8545,13505
+,7319,17169
+,5436,3048
-,490,0
+,7581,7198
+,19548,7240
+,16743,8464
+,939,3964
+,16857,10344
+,17098,19761
+,14251,17142
+,18779,9398
+,7597,3735
+,1917,17652
+,2406,8224
+,1402,16763
+,7538,884
+,16261,11897
+,7284,13952
+,1012,16413
+,17861,15711
+,2433,8171
+,9475,6867
+,18875,15039
+,18088,18289
+,5991,11542
+,18390,18709
+,545,12773
+,13655,9609
+,10840,14456
+,1109,849
+,8044,19737
+,6282,16585
+,7292,3193
+,4051,4869
+,6170,18958
+,18348,9349
+,12833,14384
+,2640,13395
+,5851,19361
+,17956,10273
-,607,0
+,17292,17657
+,9827,2128
+,19677,14478
+,3080,10477
+,6877,16154
+,16015,12196
+,3998,325
+,2273,18932
+,13925,12802
+,5400,17155
+,9946,19105
+,6038,6225
+,6117,3769
+,15474,14566
-,135,0
+,8289,14081
+,10976,17702
+,18208,15988
+,13394,976
+,19148,18847
+,1306,14453
+,13720,12309
+,7101,7469
+,3006,11772
+,5591,17833
+,6980,13342
+,4071,3072
+,14292,4532
+,17359,8899
+,3028,4352
+,15105,15451
+,9168,2276
+,13182,14082
+,17811,18089
+,13367,5053
+,9514,989
+,11473,17368
+,7380,18851
+,5678,4827
+,254,10572
+,4392,18446
+,8581,6679
+,3546,9301
-,122,0
-,751,0
+,17362,872
+,2254,18422
+,6357,4030
+,9434,18313
+,16572,13941
+,15264,6237
+,7113,13660
+,17383,9612
+,4659,12992
+,4197,4187
+,18106,10153
+,4322,12568
+,17509,8870
+,737,2371
+,3790,10810
+,889,808
+,7733,3552
+,10038,1489
+,1412,5103
+,5566,10151
+,4743,6410
+,1610,8911
+,6358,7578
+,15843,8115
+,11664,16454
+,18156,10995
+,7381,18390
+,12107,15154
+,482,7722
+,8378,15597
+,3140,11508
+,4991,17252
+,16222,2583
+,4608,2821
+,2776,6670
+,15325,11007
+,15545,19779
+,15078,8403
+,3938,18500
+,16969,193
+,12314,875
+,16956,18136
+,12385,17079
+,7210,15334
-,14,0
+,271,12897
+,19573,3557
+,8472,10385
+,6619,8824
-,912,0
+,12967,7809
+,17932,1811
+,10274,504
+,8609,7950
+,17617,6524
+,4542,15241
+,289,5666
+,18065,11634
+,8018,952
+,800,10082
+,12508,12400
+,19064,4183
+,17397,9284
+,18476,6068
+,3386,18127
+,2608,519
+,15734,584
+,10524,15856
+,5256,9681
+,12683,17110
+,13216,3216
+,19093,19003
+,10500,13206
+,13341,2329
+,18457,8683
+,1356,18292
+,12894,10286
+,5119,15150
+,19739,4133
+,11194,11701
+,17649,19003
+,10804,19934
+,8480,5288
+,6386,14724
+,8557,13205
+,6339,4715
+,9845,12757
+,1044,16998
+,12766,11084
+,18023,9550
+,18647,4456
+,15431,10314
+,18835,270
+,16065,19452
+,9232,11588
+,18945,11353
+,12939,1535
+,16179,15362
+,15968,1886
-,339,0
+,18220,1320
+,8729,10059
+,6703,17151
+,3069,672
+,13422,18236
+,9653,13152
+,2628,13781
+,16351,19947
+,19839,6146
+,16142,16931
+,11080,12337
+,16004,17878
+,18107,2609
+,2139,9038
+,1857,7537
+,3112,9461
+,12709,19496
+,12719,10889
+,6046,16369
+,16826,2020
+,16805,4081
+,6225,5654
+,14901,7387
-,947,0
+,17337,10854
+,7526,2776
+,9429,4965
+,11140,383
+,10834,12795
+,3816,5609
+,2811,3499
+,16468,12443
+,2375,3617
+,15277,10091
+,7706,1526
+,14468,4710
+,10781,9564
+,16111,19388
+,5797,10626
+,2632,926
+,14275,17534
+,6151,13231
+,16714,1193
+,3453,5037
+,18609,5960
+,1137,1096
+,17721,1149
+,12841,16863
+,4932,12019
+,1042,2320
-,573,0
-,181,0
+,10805,13428
+,9854,3999
+,7035,10703
+,9605,11448
+,19043,11762
+,17239,6357
+,15975,6582
+,9673,11528
+,9423,6833
+,18363,2730
+,15473,9593
+,18751,2595
+,13792,15083
+,3001,18703
+,5054,14145
+,8912,3044
+,19489,14929
+,949,13763
+,16115,19957
+,4906,14170
+,12534,16425
+,17851,16046
+,12464,14224
+,17073,5273
+,6665,9595
+,3609,5031
+,18561,19075
+,12701,15065
+,11271,7894
+,17764,15831
+,10733,11928
+,15724,13217
+,8264,594
-,422,0
+,5230,3201
+,544,17353
+,16209,16150
+,572,5711
+,6128,6929
+,16728,4347
+,18400,7331
+,16977,14770
+,7507,4452
+,16490,19046
+,14449,401
+,154,11707
+,17496,18152
+,10794,8303
+,19817,3749
+,10051,18502
+,19890,8398
+,7212,14828
+,2008,19570
+,9582,11283
+,3750,12026
+,15807,16840
+,11971,10666
+,1092,16827
+,13569,4807
+,2749,2922
+,1661,15047
+,13577,12675
+,19664,18571
+,2882,12317
+,10911,13929
+,17247,2959
+,687,1729
-,158,0
+,13691,1666
+,17320,12521
+,18445,4557
+,14849,16632
+,11017,11608
+,11650,10104
+,16927,17180
-,700,0
+,19514,4930
-,250,0
+,6216,5034
+,1030,12121
+,14106,13568
+,6238,16140
+,3189,5804
+,18771,11861
+,1022,5270
+,9277,1825
+,1159,7611
+,13551,14611
+,17128,13954
+,18806,6107
+,14733,4369
+,12009,15777
+,7358,16563
+,18022,8427
+,11319,9498
+,18397,5910
+,17606,15880
+,6110,5812
+,5248,1541
+,19793,8019
+,19798,11550
+,2861,1508
+,8780,11671
+,5011,14808
+,486,4388
+,14529,14638
+,19824,3733
+,14152,5029
+,19392,9851
+,10282,7033
+,5164,11640
+,18213,5008
+,13256,15668
+,1748,16706
+,3681,12170
+,18060,816
+,2613,15914
+,15042,4803
+,15144,3621
+,9815,14584
+,4822,3032
+,16214,11908
+,8951,9417
+,17780,3624
+,18578,3653
+,18617,14586
+,12761,19993
+,11073,13363
+,19201,50
+,17960,3713
+,14195,13305
+,19273,16761
+,1201,9194
+,14391,10229
+,9925,6629
+,16027,9638
+,6321,10780
+,7255,13883
-,202,0
+,17938,3756
+,13097,5296
+,10158,2016
+,6984,9042
+,4451,15179
+,17705,13599
+,17914,4925
+,6108,5970
-,32,0
+,5295,808
+,18776,422
+,12618,14059
+,14805,19392
+,17494,455
+,9593,2768
+,11484,15848
+,10997,18826
+,6626,8990
+,13052,19554
+,1274,19353
+,15125,19658
+,11521,2491
+,17544,5540
+,5100,8597
-,512,0
+,201,11573
-,786,0
+,6762,13340
+,1870,8858
+,18124,5881
+,7088,9271
+,10951,19193
+,16997,1637
+,5668,3998
+,1392,1981
+,15138,16148
+,15182,17020
+,9083,3024
+,11793,8080
+,17281,13571
+,15085,3320
+,16903,18317
+,17769,15353
+,510,6825
+,3427,1323
+,17355,15238
+,1228,4848
+,19821,5928
+,8640,18174
+,10883,11989
+,11700,5451
+,7986,17708
+,8270,10610
+,8548,13023
+,6239,59
+,17228,6162
+,13490,15862
+,7775,9281
+,7108,13222
+,1464,17713
+,8966,18872
+,18874,15380
+,19679,12388
+,19543,8894
+,4412,2162
+,17220,2586
+,12748,14893
+,5127,18108
+,6101,9196
+,11788,4196
+,13993,1624
+,1102,1130
+,771,3205
+,13579,15996
+,19725,18856
+,10474,15442
+,2840,8045
+,19769,2326
+,12301,8502
+,18479,16126
+,18297,56
+,9571,5091
+,14708,17094
+,9508,19940
+,1426,4095
+,223,9518
+,17615,3797
+,10905,3308
+,17742,14834
+,8054,9255
+,2576,17780
+,16888,13561
+,19060,10497
+,3973,13474
+,13321,10577
+,9772,17422
-,610,0
+,5246,8888
+,17317,12449
+,2807,7643
+,19344,18463
+,19524,2148
+,1853,16254
+,11022,11113
+,12830,6921
+,160,1983
+,13820,13877
+,5808,3616
+,17358,13170
+,14803,12139
+,13326,3254
+,2354,1131
+,3110,13019
+,1828,14865
+,6146,568
+,10710,15586
+,2549,12573
+,14411,18053
+,1742,9068
+,18411,7571
+,16689,19706
+,15999,4680
+,12670,15837
+,18037,5598
+,13712,19494
+,2017,3537
+,15682,15714
+,8060,4151
+,3867,19250
+,10568,4902
+,11490,3565
+,3325,4390
+,4409,7058
+,10747,5011
+,17421,11921
+,16286,6015
+,10909,16699
+,18940,19285
+,5792,6686
+,9943,15470
+,8830,13091
+,4125,10140
+,559,15169
+,18826,12691
+,16832,8185
+,15179,2438
+,13822,15674
+,13449,19025
+,7117,1719
+,10753,11726
+,3802,4544
+,7952,18291
+,8433,5204
+,19389,9913
+,7999,8631
+,5730,534
+,5917,10315
+,11754,13928
+,9968,14750
+,19245,10026
+,934,17264
+,17442,3374
+,3289,19212
+,10045,10807
+,16197,11918
-,730,0
+,6643,7694
-,630,0
+,9663,11194
+,1504,11067
+,3985,14824
+,9183,1447
+,2218,606
+,6077,7013
+,14619,17224
+,5172,4505
+,4566,12470
+,9006,8696
+,5236,7231
+,13759,3288
+,15013,3142
+,15257,7652
+,9548,17290
+,8064,14824
+,5482,13531
+,1435,6910
+,16259,8666
+,19408,16288
-,186,0
+,4417,7436
+,13070,4680
+,17044,8562
+,7340,14404
+,7439,13980
+,6373,19394
+,15293,1730
+,9213,6262
-,13,0
-,623,0
+,4432,9722
+,1518,6459
+,7813,9203
+,15701,7776
+,2429,12723
+,2715,13812
+,13232,5866
+,14634,16656
+,8407,3981
+,6542,13526
+,598,884
+,6307,15812
+,19545,13221
+,392,8671
+,6970,3265
+,2236,17407
+,10482,12587
+,6744,19261
+,16421,15981
+,1157,19687
+,6139,569
+,6214,6918
+,15058,2612
-,2,0
+,914,19353
+,6646,1356
+,12317,1868
+,12616,18848
+,7490,12025
+,12586,10455
+,951,16489
+,17727,15348
+,13498,6650
+,19371,14501
+,2968,4407
+,13535,19775
+,19249,18403
+,5044,16431
+,11818,8869
+,6331,1588
+,9135,16563
+,1765,17537
+,5861,7103
+,8947,2380
+,14564,5893
+,7594,1034
+,1675,6202
+,7933,9011
+,588,17761
+,7961,8791
+,2493,18061
+,9524,17197
+,13838,9761
+,17000,2697
+,4602,16962
+,16926,18758
+,8141,6653
+,11813,16721
-,470,0
+,14290,10234
+,13566,19300
+,9288,1891
+,8961,6699
+,9208,8989
-,13,0
+,4811,4890
+,1501,12855
+,19085,6944
+,7206,18622
-,864,0
-,694,0
+,7214,18000
+,6376,12902
+,1986,13315
+,15723,12225
+,10328,8257
+,2530,1768
+,7830,15949
+,6900,15461
+,12642,10167
+,9482,10717
+,381,3276
+,109,4891
+,6598,9934
-,821,0
+,4540,9263
+,1400,13279
+,17285,4695
+,4176,16810
+,19015,12465
+,1924,9217
+,14844,11783
+,586,13967
+,17265,13025
+,3205,19096
+,241,19689
+,9231,17832
+,17999,676
+,14709,1598
+,2038,11186
+,9163,10010
+,5155,14562
+,13124,2890
+,7760,13369
+,6949,17475
+,4095,17683
+,16811,3240
+,582,14882
+,17747,3460
+,8487,2754
+,2266,4462
-,452,0
+,17855,4293
+,19651,17519
+,9887,15077
+,16860,14817
+,9233,3536
+,8488,11440
+,8494,14368
+,2018,12067
+,13315,14799
+,9594,6788
-,416,0
+,11260,5801
+,15904,16680
+,9905,7442
+,11510,17015
-,990,0
+,18838,18286
+,16912,18757
+,10300,12660
+,8734,16847
+,8304,2547
+,4648,2410
+,16492,8702
-,253,0
+,10423,15244
+,9329,11827
+,17169,2162
+,8928,16363
+,11007,1929
+,13259,11382
+,16823,13952
+,19517,6165
-,210,0
+,9205,18445
+,11875,13762
+,3845,12860
+,12040,17596
+,13377,16369
+,12405,16743
+,9927,1342
+,3478,7357
+,13421,10025
+,11718,15718
+,16921,17131
+,1362,8084
+,18448,2468
+,3379,5391
+,16495,17844
+,9392,3547
+,5671,4920
+,2398,7477
+,14254,17561
+,274,5105
+,9310,1309
+,10869,12308
+,11937,17222
+,1741,18394
+,745,17640
+,13212,3020
+,3061,8558
+,17794,2039
+,4362,3156
+,18911,1494
+,3943,5759
+,6477,13746
+,10137,499
+,9583,17998
+,5162,15417
+,18341,5840
+,4551,14318
+,1121,8392
+,11917,19652
+,5244,4997
+,14626,7833
+,10407,5776
+,18165,6413
+,12173,6051
+,14207,4835
+,8473,10686
+,16837,925
+,17885,17450
+,18443,15798
+,123,9986
+,19393,15126
+,13988,15881
+,13635,18581
+,6160,2024
+,5702,11623
+,15663,19503
-,860,0
+,6752,8899
-,558,0
+,5120,8322
+,11459,3430
+,18420,13593
+,5213,19540
+,17258,4347
+,19628,16539
+,5786,1333
+,6625,17766
+,11305,1746
-,506,0
+,16685,2726
+,12176,5852
+,18740,11509
+,2636,1224
+,16766,15496
+,12008,1970
+,10116,6142
+,8973,634
+,17268,15405
+,11454,14835
+,16251,8194
+,17028,16558
+,3512,8686
+,9701,3825
+,573,775
+,16581,3554
+,11403,10148
+,17614,9065
+,884,3076
+,4364,18573
+,17651,13545
+,6759,10855
+,10814,18723
+,9092,1137
+,18402,17785
+,8443,45
+,6670,3139
+,5806,9632
-,862,0
-,24,0
+,2607,4410
-,856,0
+,11713,9380
+,2795,18853
+,4212,15976
+,793,11570
+,14703,16660
+,9410,19529
+,17659,19307
+,766,15804
+,5387,7956
-,427,0
+,18179,1263
+,6669,3757
+,4143,14099
+,344,9480
+,14419,14522
+,10956,15232
+,8631,13774
+,894,17963
+,19166,17892
+,18484,16151
+,12088,13279
+,19045,19858
+,4532,12619
+,16529,2365
+,6439,8485
+,14124,13710
+,1008,8181
+,7153,17579
+,17624,6284
+,2049,6871
+,1811,4413
+,18477,8991
+,15878,6433
+,12156,2236
+,18576,4413
+,1315,17563
+,18199,9812
+,16084,2296
+,15009,972
+,3684,13747
+,2396,5284
+,15025,18641
+,14559,4322
+,2055,964
+,1693,14373
+,2886,3922
+,9569,14255
+,8703,13004
+,252,15495
+,2818,5331
+,13386,15105
+,14701,6454
+,8687,3291
+,15940,4775
+,15858,10115
+,7661,2676
+,3481,871
+,8106,14310
+,19439,18292
+,10069,3899
+,18754,5113
-,658,0
+,6890,4688
+,19361,7898
+,4116,8011
-,283,0
+,8755,9200
+,1534,7026
+,12883,4184
+,6037,2098
+,3822,11362
+,2180,14436
+,7915,10787
+,10057,11282
+,447,17017
+,4128,9818
+,3074,6138
+,449,4412
+,11714,9671
+,14249,2859
+,2494,18125
+,16215,8217
+,2123,14099
+,8856,16193
+,6946,19712
+,4470,999
+,19165,2429
+,12871,6320
+,11079,12993
+,13336,15363
+,8310,794
+,13523,3302
+,5848,12634
+,4395,7537
+,1191,2859
+,19292,1889
+,19323,2768
+,1244,7830
+,1525,5154
+,7123,19041
+,18531,1817
+,10570,18789
+,3214,13968
+,81,6766
+,13492,11632
+,13602,13943
+,3544,4177
+,1679,8394
+,14196,6288
+,1976,10695
+,15722,10377
+,17680,9411
+,19773,1566
+,14961,13106
+,16541,18621
+,7032,16687
+,8989,14356
+,11798,8340
+,1970,10426
+,2960,5335
+,5615,7967
+,16382,17604
+,19780,13391
+,14208,7377
+,12594,4871
+,7738,16263
+,18884,8078
+,19525,18967
+,8934,9616
+,792,3385
+,17630,5315
+,15515,19462
+,16404,16313
+,6509,11652
+,3695,1199
+,16762,2261
-,484,0
+,19569,10594
+,7937,14043
+,13440,2251
+,15499,11320
+,4777,16469
-,297,0
+,8162,7486
+,12935,17101
+,10131,8034
+,11528,7418
+,4961,17520
+,169,325
+,10075,12401
+,17703,5198
+,14795,2409
+,14560,14759
+,17310,11904
-,714,0
+,15322,11498
+,641,1476
+,7233,8351
+,159,13293
+,15678,2419
+,7530,6377
+,12777,6023
+,922,667
+,622,8203
+,16227,7148
+,19276,17609
+,1246,9568
+,4430,15107
+,19999,5360
+,17468,15432
+,4893,10957
+,8823,3107
-,318,0
+,1685,13326
+,11154,2234
+,4898,7768
+,16425,733
+,11101,362
+,17213,11205
+,13204,10490
+,11787,6395
+,237,3328
+,5721,4761
-,318,0
+,12304,4348
+,19365,4930
+,12060,16298
+,17054,18131
+,12482,15745
+,2567,16570
+,7141,66
+,18441,3796
+,7240,16887
+,802,16955
+,7693,3849
+,16580,13999
+,6211,11227
+,3572,15825
+,6086,6204
+,10418,2923
+,17963,16891
+,5326,6650
+,17803,19400
+,16130,2524
+,3900,6882
+,1440,6430
+,2426,13992
+,3957,14063
+,4002,2600
+,6377,14310
+,4692,8659
-,690,0
+,13810,93
+,3925,14436
+,11588,19384
+,15153,4027
+,10385,13765
+,19609,7554
-,522,0
+,18306,1655
+,2764,7636
+,7082,858
+,11196,14713
-,356,0
-,72,0
+,13904,405
+,9703,1471
+,2722,15296
+,9492,3916
+,19410,13144
+,6816,17076
+,13194,7744
+,10739,18707
+,8800,4898
+,18817,8485
+,3817,18502
+,3459,10780
+,19785,19842
+,6680,13791
+,8352,12258
+,12429,11803
+,7928,7913
+,9704,13453
+,2318,11679
+,9903,282
+,4621,674
+,19826,13795
+,14633,17147
+,11188,10305
+,14320,1699
+,2833,14844
+,222,19194
+,15487,12563
+,15822,15452
+,10193,2280
-,720,0
+,11245,869
+,19096,6457
+,2753,15370
+,16147,19132
+,10391,19743
+,5496,10527
+,10204,19472
+,1819,11415
+,7075,10963
+,18964,7945
+,10399,689
+,9494,5649
+,13426,12332
+,11846,576
+,869,17345
+,14792,12442
+,10222,4603
+,13987,8833
+,9708,13415
+,5391,737
+,2564,10365
+,2244,2545
+,1067,369
+,16756,6416
+,5618,5405
+,6490,7325
+,16086,10112
+,10813,11711
+,10983,383
+,7275,6802
+,4885,10492
+,10703,8818
+,1729,13740
+,13668,1400
+,18472,3017
-,414,0
+,9971,66
+,8373,2141
+,1624,10991
+,16885,16716
+,4262,10799
+,3410,1505
+,16396,13349
+,1772,2595
+,8527,13746
+,3536,16437
+,13123,9731
+,10509,16362
+,18248,19270
+,398,7154
+,11192,14345
+,19657,7467
+,13510,7968
+,8987,5341
+,11440,15101
+,5652,8570
+,16383,14201
+,17514,1873
+,12349,8606
+,16069,1269
+,17548,13623
+,19625,15483
+,3043,1631
+,15900,17831
+,831,19255
+,11015,12017
+,10812,15759
+,11291,19901
+,1097,114
+,12673,3098
+,3301,4795
+,8355,18971
+,14545,13385
+,4594,15153
+,14648,15433
+,4270,8999
+,6995,3187
+,64,19133
-,894,0
+,10395,19624
+,2486,900
+,10261,14567
+,1585,3857
+,18029,1127
+,13798,9612
-,9,0
+,6725,4921
+,19598,18643
+,3277,19146
+,7129,4362
+,7551,18299
+,1953,8323
+,3725,10300
+,11014,9441
+,5181,17076
+,7344,17345
+,12723,2472
+,13396,3807
+,19007,1528
+,8177,730
+,9843,1901
+,12587,13733
+,13444,10312
+,16116,14163
+,12910,2427
+,18173,4926
-,383,0
+,17743,6001
+,17010,7805
