OP,A1,A2,A3
+,587,17994,10133
+,5832,1425,5885
+,2152,9898,11684
+,9879,6674,5004
+,6012,16865,18014
+,12183,11219,8779
+,13682,12853,11671
+,19103,2658,19517
+,4205,4654,9584
+,17053,8512,1708
+,2022,3811,8348
+,16478,5626,13731
+,6605,355,3229
+,9735,15364,3993
+,1367,6659,16835
+,17333,9979,17516
+,10241,15747,13855
+,13760,1824,10194
+,3561,16330,16586
+,12094,14184,2976
+,10622,16817,10271
-,83,0,0
+,16893,3057,5059
+,16856,15509,6188
-,945,0,0
+,18150,2097,4927
+,11939,15756,17308
+,15002,14668,10409
+,1164,8237,3044
-,384,0,0
+,18471,13875,15285
+,18965,15768,16074
+,7387,802,2297
+,6168,6408,18775
+,4796,10731,10371
+,13529,658,6425
+,4323,8806,4733
+,17884,16956,14621
+,13000,16062,11740
+,15936,12840,8192
+,5939,17144,7007
+,5663,4209,7860
+,13680,11396,18414
+,14687,3680,17344
+,15684,12745,11266
+,19961,16947,2613
+,7540,4656,13247
+,8798,5062,7916
+,145,6147,12915
+,10819,2644,16357
+,9263,16862,4257
+,6222,11208,17423
+,1641,5944,18416
+,4739,12374,16182
+,14420,15123,19912
+,5924,7007,15964
+,10981,10751,5713
+,11077,4626,16895
+,6640,4824,6840
+,7790,14630,15896
+,3065,16275,14610
+,6155,9387,10419
+,8779,18717,13617
+,6306,15121,2662
+,4628,9946,14472
+,13823,8905,2211
+,18355,14276,9511
+,12120,13846,10403
-,873,0,0
+,6273,19909,11702
+,16618,3056,19741
+,9392,16323,3794
+,5808,1593,14557
+,12613,13707,4855
+,10543,11851,16913
+,15103,8167,1144
+,10017,5910,2129
+,12323,6783,131
+,15362,4400,422
+,14567,3095,8115
+,11498,2662,18113
+,18007,2541,3621
+,11809,5284,1241
+,12144,13706,7406
+,6055,14504,3659
+,10711,10235,7254
+,14838,13247,4099
+,2609,4453,12612
+,3675,18224,19171
+,5685,5399,8820
+,18672,18989,7686
+,19715,4581,9964
+,525,9739,19928
+,19726,19638,17910
+,18148,2921,19265
+,15973,4825,6673
-,666,0,0
+,14773,7411,12557
+,17952,18886,681
+,10580,16599,8584
+,19257,16297,19118
+,6478,5609,4149
+,17183,13925,7032
+,5825,11273,11599
+,12069,5736,16151
+,4465,5575,338
+,11762,10440,17532
+,3686,14122,18082
+,10462,17121,3821
+,10195,13165,3798
+,8056,14520,6626
+,11458,2340,7436
+,4278,19102,16834
+,8062,404,10208
+,4155,2305,19148
+,18604,3766,3401
+,182,18434,9203
+,19709,16851,1863
+,12116,18807,1895
+,1902,10623,6161
+,10429,13037,1928
+,9640,5833,18342
+,273,13673,5540
+,8216,9366,10302
+,2475,6929,2249
-,294,0,0
+,6404,6662,7392
+,13938,16565,18971
+,6308,4484,16407
+,13097,13395,11609
+,14355,19927,10634
+,3013,5246,18159
+,19406,18700,17613
+,7499,10838,14319
+,19515,13058,6553
-,563,0,0
+,16851,4342,12036
+,12499,4536,2362
+,8722,12190,9061
+,456,2327,1297
+,1865,6072,5001
+,13095,6067,7283
+,3473,4394,10055
+,18300,18936,878
+,2396,19502,3485
+,12882,18456,4776
+,17384,4762,5638
+,5514,834,8007
+,4473,15899,5875
+,14290,12936,472
+,19059,17482,11091
+,3558,7371,94
+,18383,9472,13171
+,8775,15188,14564
+,15657,13299,15984
+,653,2870,8624
+,15732,10511,16409
+,5598,1994,3690
+,5297,1908,2892
+,3553,11744,18958
+,5639,9013,8277
+,14605,18428,11068
+,19430,3619,923
+,3394,12175,5047
+,1153,5562,3639
-,916,0,0
-,550,0,0
+,2044,10134,3142
+,5102,5326,4259
+,4040,4712,13380
+,5190,12624,9430
+,18220,9905,18140
+,4351,3186,6930
+,7886,9320,2236
+,12354,16332,9258
+,9061,13101,10893
+,2442,6905,4309
+,2204,9089,16933
+,5684,7453,3001
+,19138,11303,11029
+,19456,7435,16962
+,6103,8187,622
+,19728,19509,2199
+,6780,9362,15746
+,17792,19145,340
+,15276,8921,17631
+,10771,14274,5355
+,11278,19808,16870
+,14161,16784,14946
+,18985,12944,1778
+,55,12857,10453
+,18511,17324,12196
+,12705,10392,19513
+,7115,7616,16852
+,13494,13243,1777
+,5823,3372,13815
+,9826,12362,16518
+,12201,6798,19444
+,14398,3673,8904
+,14235,17131,9358
+,1104,7898,19711
+,2261,6913,4423
+,3689,1665,10641
+,13548,417,16934
+,16948,5926,11885
+,6223,6793,13983
+,19654,14036,14658
+,4592,8567,17474
+,14881,14114,458
+,5873,14511,18926
+,13745,338,9807
+,10048,7581,13939
+,6387,7464,18040
+,834,2806,4511
+,10658,17292,10908
+,4625,8367,2525
+,4313,14751,14439
+,10560,4403,3936
+,3826,14144,2235
+,5860,705,8406
+,10233,14024,2418
+,11378,6227,18135
+,10795,435,5027
-,929,0,0
+,5742,7644,9384
+,19989,7816,9000
+,11848,3424,3369
+,2317,16935,7757
+,19880,9308,18984
+,5059,2190,2365
+,15883,17796,9890
+,12348,13052,1606
+,8181,5837,809
+,9723,5038,7708
+,2687,2329,18928
+,992,18579,1826
+,4740,17770,8970
+,13956,4594,14068
+,2965,5713,18935
+,15879,9667,17887
+,1868,14824,5
+,19349,15146,19262
+,5361,9582,19273
+,18432,2626,1723
+,16323,6660,5593
+,11862,13677,8355
+,7449,19833,19756
+,19800,6495,231
+,9873,10229,12484
+,12249,5743,13565
+,8582,8740,585
+,3911,16761,4082
+,10937,269,7161
+,18726,15298,15706
+,12117,3813,13606
+,10148,19172,1482
-,312,0,0
+,17334,12009,1523
+,15388,15163,11398
+,9547,11979,8912
+,6374,6596,7105
+,14958,12828,17047
+,563,2128,16435
+,16695,5071,15389
+,17970,14442,19031
+,10353,7017,19175
+,911,11705,2997
+,845,6899,4696
+,439,19180,610
+,3166,12974,16140
+,9372,16495,2579
+,4843,17133,16739
+,4648,4261,4161
+,19986,10770,16524
+,12433,9808,1331
+,14931,5585,238
+,11786,11678,1663
+,12169,13477,13218
+,18473,19992,10850
+,19419,15593,7220
+,13840,10687,16370
+,15699,7814,16549
+,19479,7373,4184
+,7248,10764,14149
+,2880,18583,6655
+,2981,3642,7630
+,5529,13811,19912
+,11447,12776,3760
+,4342,19773,18222
+,14700,4832,5199
+,6770,2614,3527
+,8042,18235,10349
+,13285,8182,15224
+,16800,4427,9549
+,4219,3620,10373
+,3966,15847,2869
+,12019,5389,9839
+,7691,4866,13822
+,7615,4546,10550
+,18523,2531,9308
+,18393,2683,15956
+,15591,10387,6709
+,5764,15035,9442
+,8105,19472,2510
+,18634,8929,17747
+,12307,11879,13581
+,1180,1966,6333
+,11678,2738,923
+,12240,8564,6020
+,12366,18644,2901
+,15544,5934,16301
+,15037,5862,13510
+,4325,9738,11079
+,19795,12365,1437
+,19133,14860,19733
+,260,15925,16892
+,14858,487,7216
+,13159,15692,5973
+,5069,12526,13878
+,6465,18626,11567
+,3076,14813,16797
+,9370,8482,8821
+,19610,7703,9246
+,12802,16807,14258
+,11957,1956,15190
+,12454,16384,18566
-,307,0,0
+,5865,10254,5046
+,16077,4265,16648
+,7990,4410,16241
+,3785,12352,16186
+,3632,2451,7490
+,5660,12513,10581
+,6245,2079,6833
+,19433,10516,11146
+,3512,2662,14801
+,4711,13189,14335
+,242,3632,2837
+,18858,10857,9019
+,1499,17840,14409
+,7469,14297,15170
+,15179,11445,2945
+,12468,14210,2019
+,15202,8058,16015
+,3809,206,2971
+,2408,13009,15873
+,16163,8727,7457
-,951,0,0
-,147,0,0
+,8971,3227,16981
+,1939,6457,3342
+,3245,12743,4712
+,2913,2506,18796
+,4766,4211,9990
+,3070,549,14490
+,14747,18518,13207
+,2213,18453,15125
+,681,8608,16373
-,512,0,0
+,13495,6901,9033
+,3970,11311,1423
+,17937,3657,3231
+,7427,5111,18877
+,12106,3676,15081
+,17419,11790,11578
+,4759,7093,7144
+,12442,115,13654
+,2582,10209,8743
+,19521,6952,3172
+,10785,8029,7342
+,5485,13786,17175
+,11272,8316,6523
+,8329,17443,5954
+,2804,11053,6593
+,9556,1621,1530
+,13463,15353,12092
+,19809,11792,4549
+,16545,1549,16191
+,9990,1867,15788
+,10064,12100,6432
+,13286,12506,17969
+,1892,16322,13648
+,14230,5445,6443
+,10381,3961,60
+,19245,7582,7902
-,100,0,0
+,10329,15217,16396
+,12868,12885,1184
+,10323,3878,12546
+,6937,8743,2769
+,3969,10021,11616
+,4748,8323,16594
+,13599,5979,2443
+,595,1759,17057
-,737,0,0
+,12020,15052,13050
+,15605,2012,3123
+,15795,4648,8400
+,33,17221,7912
+,1695,17044,13517
+,6372,7134,12560
+,11132,17957,13790
+,14193,3168,11306
+,3571,2797,18399
+,6212,3560,5146
+,1260,19046,14379
+,8861,11219,8894
+,5677,660,9466
+,9326,18279,11374
+,16725,9169,14218
+,18420,15299,9389
+,10899,8124,2909
+,79,16245,923
+,17013,3016,1251
+,6026,4149,13544
+,630,14953,7834
+,14301,8454,19509
+,7634,504,16283
+,19651,15592,12746
+,16275,1340,12980
+,14985,10237,14078
+,13347,10020,12352
+,3281,18658,1526
+,9461,8267,15885
+,3898,14564,13201
+,14200,50,15970
+,4396,18191,18721
+,19497,11912,3058
+,5470,4787,13559
+,4119,9734,10843
+,10674,6660,4220
+,3978,13365,55
+,12147,535,1219
+,2982,15260,3
+,597,18312,19064
+,13239,1118,11624
+,447,6374,1415
+,2110,14469,13580
+,19149,18163,8053
+,1844,3057,3734
+,15791,3244,3153
+,1767,9020,9063
+,330,19554,6205
+,12310,5427,19456
+,19194,16068,4047
+,1677,16642,14464
+,7734,2638,17414
+,6390,17136,19713
-,25,0,0
+,10470,1066,13123
+,13973,3997,7176
+,10117,741,10835
+,3811,841,10330
+,301,18775,17712
+,7589,14396,12269
+,17264,5516,3737
+,13034,6586,7624
+,9074,8229,5789
+,2346,18932,11425
-,603,0,0
+,7649,17064,5749
+,12375,10215,15754
+,6870,17139,18365
+,16303,3057,7843
+,7729,7084,5062
+,769,16592,3113
+,16273,8301,11399
+,11555,10660,4911
+,14024,18539,16691
+,18966,11758,17746
+,19910,17474,14298
+,12114,14190,13789
+,19787,1488,12022
+,15280,9832,8673
+,18631,13499,7388
+,1955,16923,5605
+,7583,17057,13500
-,582,0,0
+,13207,13132,3762
+,14185,6192,15873
+,4567,19799,15840
+,7366,15619,5481
+,8635,8737,2257
+,17642,14109,3936
+,14195,6778,11403
-,1000,0,0
+,5483,14243,552
+,5894,12492,3886
+,14667,16594,8571
+,19563,18890,3114
+,11207,7880,3324
+,11177,9319,7642
+,16121,12703,13153
+,15150,1418,19812
+,9428,10060,504
+,9359,17231,18627
+,14729,12911,3349
+,6545,13859,12919
+,12384,2625,5840
+,14615,19333,8300
+,1626,4490,9869
+,29,13945,2025
+,15008,5780,2478
+,19705,5205,17160
+,13517,1591,8764
+,8438,16133,8166
+,19606,9369,19572
+,17988,1583,14007
+,18258,15842,873
+,4653,17130,968
+,14551,17633,7813
+,2792,19131,11287
+,15870,5875,14312
-,550,0,0
+,11142,8594,6088
+,11746,17573,15697
+,12438,14832,17228
+,3877,5285,12720
+,7486,13289,8414
+,3306,6616,8847
+,11339,11151,4978
+,13479,13236,19282
+,15019,1153,16834
-,379,0,0
-,315,0,0
+,11357,14176,4686
+,19590,4147,13399
-,840,0,0
+,16051,16324,17359
+,5063,11068,3942
+,5768,16393,11717
+,15406,17522,16422
-,2,0,0
+,745,988,6841
+,16860,11215,9215
+,1791,804,5402
+,3987,6911,1426
+,11852,11908,13932
+,19870,17126,14337
+,8195,19354,12393
+,7516,19491,12905
+,14253,10458,4706
+,6815,19596,18962
+,10354,16307,3952
+,18005,17469,9054
+,16577,3548,5141
+,2602,3007,7723
+,10847,11557,1136
+,6035,1057,16305
+,17417,5337,14868
+,18013,5310,11321
+,6460,5720,15347
+,6329,8837,19749
+,18702,8255,8924
+,18969,12126,18031
+,18199,15168,1927
+,493,12780,5209
+,5285,12999,14964
+,17982,6519,12891
+,5067,18414,17641
+,18817,1275,17324
+,13088,12852,9443
+,19481,8173,8331
+,11864,659,3124
+,17141,13316,11514
+,13190,15510,40
+,3276,7282,613
+,3085,9858,1947
+,10407,1514,10802
+,15758,4272,18035
+,13265,14954,12469
+,129,228,3888
+,15566,4634,18842
+,9927,10080,18818
+,5314,6374,8780
+,2087,14651,2097
+,9686,16804,3439
+,14594,11344,17544
+,8685,7604,5881
+,6101,1414,19029
+,12761,3186,6149
+,13632,12190,19798
+,6641,11936,17804
+,866,14548,16583
+,14826,10060,117
+,5382,15757,6116
+,18542,5007,10211
+,12296,19506,16080
+,13448,14215,7314
+,3792,3789,9094
+,5805,1614,3115
+,19510,18964,14418
+,7657,12442,11255
+,415,17879,6141
+,4965,16409,6003
+,1457,4918,12757
+,15060,18095,15861
+,6180,16398,18944
+,13116,11220,12672
+,16165,18837,9848
+,6667,7886,11859
+,7044,2488,8568
+,376,17158,6242
+,8540,15349,5194
+,6441,2547,16956
+,960,10390,11782
+,8689,11656,13481
+,3669,2789,19963
+,6567,18100,1263
+,2436,13432,4838
+,6993,19073,16588
+,12763,7268,11185
+,7419,16672,7916
-,424,0,0
+,12282,13132,8507
-,926,0,0
+,1528,6171,2213
+,12491,17034,4325
+,4688,12861,608
+,3630,924,6449
+,8611,3513,8719
+,19311,5570,7438
+,7785,18239,15313
+,13544,18118,7572
+,19976,2413,9585
+,9252,4328,17560
+,13765,11705,10702
+,1807,1139,7873
+,18134,18157,18726
+,2904,11024,6089
+,5737,12167,1606
+,19308,17320,16572
+,10213,7202,6863
-,764,0,0
+,3144,1023,19839
+,15329,6087,17976
+,1057,12882,14329
+,1271,17138,7111
+,4398,3797,1166
+,16437,12661,3427
+,11799,7911,13011
+,2589,19531,14663
+,15456,953,15000
+,16931,5167,12362
+,8811,16925,9498
+,1809,743,1153
+,3278,3547,12485
+,10217,18187,9784
+,15024,8138,13195
+,13220,11382,772
+,12716,12624,11604
+,15979,163,974
+,2091,9518,6160
+,7454,14305,3029
+,6507,11215,18418
+,16173,2671,10721
+,16603,7016,839
+,3604,9872,10919
+,557,5324,807
+,11787,4871,1205
+,1100,13246,2004
+,19049,3533,7671
+,19042,17414,14882
+,10046,192,4616
+,16652,17124,14337
+,16330,16065,17610
+,5368,13996,16313
+,9941,9267,6928
+,4798,14757,2199
+,19834,15526,1133
+,12204,7857,14392
+,5111,12890,18925
+,5576,6386,13085
+,15781,9599,9530
+,4680,5154,427
+,15552,12372,6236
-,309,0,0
+,15954,11872,2993
+,18501,14595,5759
+,13261,6653,13833
+,12900,15425,1365
+,7937,5730,3701
+,12738,12181,5592
+,13878,16851,2370
+,4209,11865,9796
+,14149,17907,14702
+,7939,4562,4428
+,10363,12498,10988
+,16699,3002,7523
+,8804,12869,1621
+,6748,10894,7948
+,16845,17874,8291
+,10972,6911,3473
+,6078,11627,18627
+,10911,17270,17916
+,9970,3041,11536
+,16673,6418,4381
+,15234,6378,13699
+,12022,10183,7147
-,499,0,0
+,1246,6265,4682
+,14039,19992,15298
+,11987,2616,11674
+,15121,604,724
+,3080,10909,77
+,17625,18428,3748
+,11651,9892,4335
+,7703,2463,14889
+,2554,5855,1098
+,3498,3823,3223
+,1048,17539,19693
+,10581,736,1323
+,2355,14253,433
+,10804,13788,3780
+,16056,11777,3268
+,19181,2039,13025
+,8777,18694,7589
+,7539,9358,12288
+,4571,1904,7992
+,16458,5709,6476
+,7157,13723,15090
+,9496,1402,9051
+,2808,13576,14548
+,5973,12241,18646
+,13118,11878,9865
+,6495,16232,5952
+,3927,4567,19522
+,8577,12564,17888
+,5155,19678,17208
+,1109,7130,12177
+,18895,3806,15994
+,12466,5577,18866
+,7399,7493,2499
+,13693,5983,12601
+,8245,19390,12869
+,5214,13975,2683
+,4904,18265,2537
+,14502,4273,231
+,13842,13440,15530
+,12567,18999,17652
+,3004,5065,5038
+,6557,13995,14819
+,16718,595,18316
-,7,0,0
+,3588,1534,17983
+,7232,14910,9679
+,16309,5933,19114
+,19372,9231,14030
-,168,0,0
+,19684,15713,4110
+,5230,8635,4109
-,135,0,0
+,2727,9759,18744
+,590,13295,18801
+,7334,8943,10888
+,4048,2770,9413
+,16959,18681,7882
+,19731,16785,840
+,19770,18152,8689
