OP,A1,A2,A3,A4
+,8821,9157,648,4105
+,6576,2146,6808,1307
+,2587,7260,3480,9407
-,618,0,0,0
+,3120,4435,6799,4196
-,210,0,0,0
+,8467,2267,9223,9082
+,9446,178,3014,5908
-,908,0,0,0
+,2575,7375,4449,3262
+,3743,9734,115,5336
+,5027,417,3855,8391
+,3962,7778,6142,5185
+,6869,7896,1905,512
+,9836,286,6143,5760
+,615,2242,9950,2286
+,2558,4173,4999,4737
+,9380,5356,4016,7003
+,3806,6767,3436,4511
+,860,1117,6000,8673
+,3107,4570,8673,2271
+,7621,6347,3500,8025
+,10,226,8935,5424
+,7059,2504,3208,9448
+,6221,3311,4876,3172
-,217,0,0,0
+,1755,6568,4406,9760
+,3601,3808,311,9402
+,9430,4648,9464,2678
+,8507,4314,590,8308
+,4256,111,4081,4948
+,2424,4660,1311,655
+,2582,9590,1264,442
+,1525,4233,5403,1512
+,1455,7084,2672,6056
+,2111,531,2283,7610
+,5264,2619,1418,5115
+,1384,9020,3678,8032
+,59,4134,728,7741
+,8552,3772,7233,952
-,841,0,0,0
+,2750,4670,4079,2925
+,2037,1006,9167,25
+,2646,7430,1516,4595
+,6763,8338,1965,6581
+,2184,9274,2616,21
+,5795,3024,7595,8005
+,9629,3348,3649,8945
+,6042,4746,4052,4461
+,5330,5527,2612,699
+,1713,3578,1302,1260
+,4400,6884,4097,9413
+,1889,5170,1054,2421
-,423,0,0,0
+,803,503,689,8542
+,3279,6298,4023,4144
+,5926,4184,4585,7576
+,8715,2641,2800,7475
+,7563,8339,925,2932
+,646,4453,4502,340
+,451,2578,8874,64
+,9584,3902,5758,4239
+,4387,8750,5346,150
+,1284,1379,205,5557
+,625,4754,1893,6745
+,3522,3456,5026,3969
+,2589,2951,6372,4717
+,2556,6018,5523,532
+,9074,3395,7744,6600
+,2767,9181,9631,9037
+,5823,7891,711,1449
+,7852,3133,3634,1924
+,3995,4386,5287,8500
+,3451,1973,1884,7611
+,2999,3362,4820,9140
+,461,3916,7160,8061
+,8630,2193,1708,6311
+,6272,9433,5225,3535
+,1654,1262,9959,7858
+,859,4669,6861,2872
+,7307,9063,1641,1331
+,3912,1996,881,9666
-,977,0,0,0
+,317,1898,3191,4372
+,4270,8887,5563,8515
+,584,6049,9766,9497
+,9954,9223,7450,6647
+,654,8656,9876,6323
+,3893,8901,1848,6549
+,5452,8958,3660,305
+,7371,7952,3313,832
+,3869,2116,1978,9682
-,489,0,0,0
+,4725,9912,544,2851
+,1139,1894,2328,2089
+,5373,7169,8787,6145
+,1961,7855,7332,8037
+,7666,4319,2302,6484
+,3077,6606,5530,5908
+,9036,812,7752,5573
+,73,5591,7513,8894
+,1927,3541,3863,2939
+,8946,76,1944,8749
+,7050,2922,3917,1530
-,91,0,0,0
+,6723,2099,2468,3001
+,3161,7006,7843,502
+,4593,4493,6393,9662
+,6384,912,8038,4659
+,943,1674,2528,6579
+,4031,5673,5465,9388
+,5897,7916,8678,2250
+,652,7711,9077,9575
+,4144,8850,6259,8061
+,9240,9135,2335,7771
+,1319,3090,6681,2736
-,216,0,0,0
+,3745,7925,3266,6279
+,4797,7192,6253,9343
+,4883,6961,1099,549
+,6173,8308,6957,1236
+,1043,6498,3984,5027
+,7876,7958,95,4916
+,8593,4958,8461,2049
-,714,0,0,0
+,2099,6166,1082,549
+,7682,7108,867,9264
+,650,4397,5414,9490
+,1946,581,3543,6638
+,1875,5447,9252,9016
+,6630,7748,1533,7693
+,2036,9945,8439,4040
+,5321,5324,5643,2938
+,3600,1860,6237,3719
+,8108,45,3516,8254
+,6788,7730,5307,5009
+,1294,2697,8666,4105
+,6127,8605,9030,4370
+,6906,2518,8582,878
+,1158,1180,2135,5974
+,1421,6891,4423,6895
+,7158,7500,267,6226
-,87,0,0,0
+,8649,133,3993,5486
+,3427,6179,1718,1520
+,4833,6514,2893,3195
+,13,5174,8125,5702
+,2894,7938,2265,1374
+,5887,1432,1455,1099
-,671,0,0,0
+,3775,7506,6451,2377
+,8862,4061,9869,9123
+,5486,6445,9663,8827
+,9626,1200,6658,3173
+,8302,7959,5316,9516
+,7154,4097,4459,3330
+,541,4031,6258,5426
+,9853,8183,438,8211
+,6201,5315,7192,7128
-,351,0,0,0
+,5607,826,6679,4129
+,6207,7955,2849,820
+,856,3169,6051,5035
+,5772,8104,1366,1588
+,9569,4323,8486,2155
+,8107,2276,2994,7461
+,6416,9254,6426,4279
+,6108,514,1551,8992
+,3042,6774,1871,3460
+,9420,1086,1194,3503
+,2197,6647,7773,623
+,216,59,5149,8291
+,5538,7231,7890,9025
+,4940,6785,465,418
+,4399,4797,3871,4807
+,8474,2805,1205,9742
+,2337,8005,7367,2676
+,1150,8834,6945,1390
+,6606,5933,5675,419
+,3108,2307,1655,7615
+,347,9557,8219,7785
+,6767,8958,2812,5511
+,4192,2739,2019,8503
+,9147,5876,2504,2004
+,7612,4323,9949,6098
+,5557,6049,2565,2707
+,4417,2152,648,1755
+,7579,9756,6441,8662
+,5163,7091,2789,7304
+,8748,4983,4760,6307
+,7204,4016,1551,7244
+,2555,2893,2979,7635
+,1629,2696,401,6802
+,2954,4002,4662,1977
+,7994,8922,7640,3871
+,1516,2912,3636,5291
+,2228,5691,8827,9117
+,7434,7631,3062,9359
+,5480,884,4660,7452
+,4864,805,2046,3870
-,695,0,0,0
+,2300,8291,9578,5279
+,4484,3300,1446,89
+,9670,9343,5701,6741
+,4604,2070,7341,8434
+,5696,9512,279,277
+,8504,3822,5355,6996
+,1851,9743,7080,5898
+,601,5224,3046,7989
+,2607,54,966,9059
+,8698,4858,6279,7776
-,390,0,0,0
+,121,6509,7592,178
+,5156,6622,1137,1545
+,2169,6422,8683,4971
+,5401,7325,556,8128
+,8856,432,6480,5434
+,4913,3914,3571,2092
+,3034,8631,1946,9089
+,2446,8573,6076,876
+,6061,2225,3746,945
+,5223,3251,6635,1494
+,7691,9303,6994,499
+,2122,7355,1370,1404
+,655,5784,4777,7680
+,5041,3669,4685,5030
+,78,4979,1826,6505
+,8822,5552,7714,6146
+,4694,8661,9409,7947
+,5087,9727,8123,1731
+,7103,8882,1767,9714
+,5760,69,3920,691
+,3897,2380,1537,7211
+,7755,189,4250,9646
+,3348,2721,8185,4143
+,4976,1139,9193,6230
+,1881,5266,2271,7671
+,2689,3289,9621,7291
+,4535,4788,5139,59
-,692,0,0,0
+,409,6109,6950,4369
+,7465,5261,1734,2386
+,5157,7729,117,8029
+,4968,2183,9181,3832
+,2623,3896,2683,4968
+,8979,880,5746,1793
+,3850,7102,2219,4441
+,6231,4945,6794,9794
+,320,2085,6814,464
+,7845,7975,5944,1317
+,5554,1755,6876,8643
+,7954,9776,1449,1448
+,3334,3535,4721,6966
+,6217,2587,3670,5544
+,8472,1600,8520,4557
+,8558,6966,8360,824
+,5781,3916,8814,3017
+,8077,1607,8557,9222
+,7646,1252,2955,1241
+,7424,2385,6694,5883
+,8848,9450,660,2596
+,8679,6149,4107,9746
+,4575,2405,7132,6902
+,9848,8540,4994,4296
+,1285,886,307,4553
+,4859,2111,6122,2961
+,9363,5447,6901,9985
+,6910,183,4353,1679
+,6989,5650,4835,6987
+,3930,4687,2465,9403
+,308,5195,9186,3300
+,8292,7258,9061,7380
+,1579,375,3189,3460
+,1888,4089,6668,459
+,6121,4189,2829,5407
+,1144,6779,8188,7345
+,8388,4766,2919,3290
+,9920,1208,2096,2648
+,3280,2112,7413,854
+,5166,4039,65,1005
+,412,5367,7209,2413
+,7995,2209,8275,1258
+,8338,73,1782,233
+,1824,7164,765,489
+,1321,2678,2049,7925
-,117,0,0,0
-,918,0,0,0
+,1547,5226,441,338
+,4195,7713,4130,1581
+,403,5872,8405,8278
+,3923,9358,4388,1333
+,1026,443,4806,8589
+,9175,1895,6135,57
-,168,0,0,0
+,6633,8210,9707,6763
+,5704,9459,8466,1183
+,9587,6166,481,8069
+,7866,7157,1511,5647
+,2778,9981,8875,4863
+,8681,5777,5031,4509
+,95,1293,8133,7224
+,6303,5235,7365,7981
+,4759,7312,9017,8448
+,4691,3031,8582,8642
+,1962,8408,1473,3642
+,941,5287,5854,7740
-,912,0,0,0
+,2695,7815,6261,319
+,5853,3387,1603,1471
+,8584,3242,5277,4462
+,7885,2035,9856,5283
+,5334,5092,1302,5633
+,246,7109,7239,8316
+,271,9021,6466,3988
+,254,1311,1853,2545
+,3728,3570,5205,6071
+,8053,4550,6080,9016
+,3547,5090,7112,9404
+,7033,7314,4950,5328
+,159,3737,3457,9344
+,6520,456,8598,21
-,309,0,0,0
+,323,7997,9083,1752
-,385,0,0,0
+,5364,4948,2235,3003
+,9479,1627,7366,1717
+,3920,4721,5334,8568
-,36,0,0,0
+,5968,8098,6771,5433
+,6329,8935,6414,6975
+,7493,199,3670,4589
+,7766,8192,9527,6148
+,5990,6342,349,8463
+,7824,2850,8754,6020
+,5728,234,1499,9942
+,5050,8959,3204,6962
+,1982,2523,3327,1272
+,8358,4115,6636,2829
+,5989,839,6719,2149
+,4712,6229,1196,8006
+,9122,41,9499,6952
+,634,8737,2334,9261
+,1621,1480,2569,2948
-,344,0,0,0
+,7713,2343,3442,1461
+,6471,1190,8627,1002
+,2022,2055,8007,5606
+,2472,5319,4605,4417
+,5317,6997,3095,7255
+,8722,9918,4174,7920
+,9799,3431,7594,1935
+,7323,624,7224,7903
+,3572,2648,5509,5121
-,188,0,0,0
+,7874,3160,9223,3595
+,1726,3408,4661,8720
+,1286,5302,6547,391
+,5991,9030,6505,3803
-,131,0,0,0
+,8602,173,1514,1396
+,3814,3258,3160,5801
+,9622,5969,2678,3656
+,9065,4562,9779,9250
+,5399,649,7690,928
+,7821,5462,5873,9327
-,209,0,0,0
-,514,0,0,0
+,4355,9802,5599,3319
+,7346,7288,368,2059
+,8735,8935,6266,6444
+,8177,8314,7737,8030
+,2103,8996,54,7568
-,461,0,0,0
+,8769,7590,6251,956
+,3291,1167,9806,2860
+,6583,9455,6064,6422
+,8138,5897,689,4184
-,583,0,0,0
-,585,0,0,0
+,4120,7,1295,8179
+,2091,7410,8391,7357
+,3697,8001,432,1093
+,9659,3487,1071,4941
+,8532,9415,2544,693
+,8726,6876,796,5315
+,2131,101,1644,1
+,2231,6475,6365,8505
+,2821,6316,3995,3327
+,6123,6070,8594,7294
+,7940,5350,5334,7496
+,9772,4195,6853,982
+,9347,9315,7754,8916
+,4486,6120,3778,973
+,1415,4018,4928,4508
+,7478,9919,7683,6250
+,1764,7639,5858,6876
+,6516,2969,9341,9452
+,2206,6063,4840,3649
+,5755,2489,259,669
+,1794,5413,3967,9860
+,4685,5229,8646,6369
+,692,9396,3586,5069
+,6862,6122,9734,5149
+,9851,1633,0,4314
+,5579,7526,2707,3609
+,9165,789,9028,1992
+,5976,4463,4989,7446
+,4602,7113,2028,7833
+,278,2599,9957,2828
+,1864,6129,8305,4568
-,543,0,0,0
+,8424,8594,204,4434
+,2824,5266,4610,3955
+,8469,1337,788,1489
+,1063,7286,1032,1037
+,8638,8142,6049,1582
+,5931,7764,1713,6395
+,3750,4374,356,8979
+,2636,4152,2004,8855
-,70,0,0,0
+,6242,9428,5910,509
+,9417,642,351,7353
+,5531,5589,9032,2451
+,9410,8999,9687,9448
+,7800,8390,1200,788
+,8720,4192,7335,7389
+,5415,9380,765,9900
+,2929,5601,2312,7565
-,230,0,0,0
+,7028,2354,119,8829
+,9520,318,5242,8343
+,6877,9152,9775,7921
+,4244,386,4658,457
+,9001,7276,9139,2949
+,1057,4880,4988,5481
+,2634,4702,9358,3885
-,309,0,0,0
-,968,0,0,0
+,2828,4111,254,2882
+,2540,8847,2577,9378
+,4543,457,4273,6241
+,7894,8835,268,3878
+,2315,6182,4439,5675
+,7114,9912,2344,9072
+,7239,4036,4874,1152
+,5908,6313,3093,8849
+,9807,6178,7253,8996
+,7169,1537,1744,2599
+,7241,1872,6334,3749
+,1760,9180,2823,8379
+,464,2745,2754,3139
+,3410,2076,9741,5325
+,1600,7588,7305,3188
+,3681,4697,7110,5193
+,6019,6356,2614,2811
+,9315,965,8391,9953
+,9600,3332,121,9723
+,2443,8147,4129,1423
+,1340,4089,7630,4572
+,1109,1889,485,4328
+,1290,8847,9533,9425
+,7143,5393,7948,363
+,131,7224,2263,574
+,2016,3601,5610,6572
+,3405,413,7175,9401
+,9173,7999,2474,5779
+,6733,4332,9037,816
-,995,0,0,0
+,4680,5778,7453,2180
+,340,5504,1210,715
+,9603,9300,2810,1352
+,7150,2654,6324,564
+,5720,8519,6977,3465
+,7486,838,4367,5222
+,153,8162,4125,2484
+,8105,6788,4838,9964
+,2163,603,3419,6409
+,9729,1960,117,6722
+,4158,9877,750,5810
+,5723,655,8189,3099
+,7221,3748,7165,5799
+,9264,2682,6720,7883
+,7399,2148,505,872
+,1374,3139,8009,2911
+,7949,5670,4416,8448
+,5935,6434,8273,6208
+,3554,6097,7784,4530
+,4240,2967,5388,632
+,6055,841,6622,2225
+,387,9321,6167,6449
+,4452,156,6886,9178
+,2830,9810,2461,826
+,9546,5531,4184,5912
+,2696,5597,2413,290
+,8881,3554,6908,6881
+,2578,3383,9139,7205
+,8927,898,9738,5709
+,6856,9669,340,3658
+,6109,8536,7850,8666
+,5996,8000,5361,2555
+,9692,9542,7063,2856
+,4599,4971,9724,968
+,9840,4158,919,8594
+,227,2725,5823,596
+,9019,3560,2313,8114
+,1126,2764,2749,983
+,8740,657,4835,4812
+,7002,6850,8835,7187
+,2212,4268,3356,2216
+,6557,8705,65,6015
+,3921,5673,630,2016
+,5304,9509,3576,2107
+,3315,7786,447,1168
+,6747,4174,5787,5057
+,3809,8222,990,2003
+,4317,3920,5577,4997
+,4590,4026,2759,7614
+,3333,1272,6084,710
+,4091,9805,9882,8501
+,7473,2258,1441,7077
+,6671,2141,2112,2375
+,6080,7058,5030,9824
+,609,5885,3497,3560
+,7974,1434,640,1030
+,2940,9959,2468,7671
+,8493,5113,351,9403
+,6020,7521,528,12
+,4928,8188,5568,8495
-,128,0,0,0
+,9006,1539,4869,3877
+,1467,233,444,2636
+,9386,7336,2162,1818
+,9615,639,6751,2073
+,4320,3917,2429,8989
-,115,0,0,0
-,238,0,0,0
+,9710,2194,7042,9074
+,7955,1206,5970,6766
+,3586,5775,7156,108
+,1639,7612,4669,9663
-,349,0,0,0
+,4224,2103,6450,3478
+,224,2691,5839,4188
+,7843,2284,1737,3397
-,379,0,0,0
+,1573,5826,365,776
+,5684,5977,1237,6627
+,7019,4304,3123,4713
+,1416,2058,7325,6627
+,5429,4149,4887,5379
+,3558,189,7546,2879
+,5347,9526,8539,1411
+,9194,495,4469,4731
-,83,0,0,0
+,2871,4232,5967,42
+,4667,8610,6590,981
+,9148,575,5303,7584
+,2816,8383,3810,5139
+,3088,9109,2201,2656
-,428,0,0,0
+,5258,145,9739,2343
+,7998,4380,8541,301
+,5322,9972,8135,8740
+,5241,9454,7359,3747
+,4071,7377,5588,8751
-,949,0,0,0
+,1630,7589,6128,7447
+,8122,1724,518,1645
+,1603,2904,8134,4563
+,4328,8568,7032,9592
+,2236,2679,8191,3152
-,148,0,0,0
+,6658,4711,3458,6364
-,230,0,0,0
+,9953,835,2546,9986
+,5175,1907,7895,3894
+,9224,5881,3877,7348
+,5397,9662,2449,4806
+,7561,3905,6852,5038
+,8583,6309,9721,8896
+,6847,5789,9416,9538
+,4977,9690,3248,9783
+,9330,897,3521,4312
+,879,7640,580,731
+,326,5973,4695,4261
+,6646,2188,298,2925
+,2288,7986,8453,2995
+,6309,7580,212,9476
+,7961,1469,6302,1577
+,8525,7180,8724,3673
+,6703,2443,3520,9096
+,1763,6311,2964,6440
+,6460,709,2567,5717
+,5494,2836,5615,6978
+,3503,3573,656,2259
+,9196,4300,8702,4624
+,8036,6843,6889,6309
+,8322,6461,6884,792
+,2046,8013,892,8184
+,8450,952,2205,7443
+,7160,4620,4688,9929
+,4936,8984,3804,4464
+,7629,3501,3281,4667
+,7282,5651,2830,5336
-,951,0,0,0
+,4196,2127,3311,9287
+,3302,8173,8594,9100
-,60,0,0,0
+,8441,8490,6562,6329
+,1803,4201,5542,5780
+,6587,3975,4772,4662
-,975,0,0,0
-,69,0,0,0
+,6718,2626,5405,7241
+,670,3423,5196,7718
+,6552,9766,8312,8639
+,1811,7070,1641,3731
+,1122,6222,3507,5681
-,549,0,0,0
-,459,0,0,0
+,9368,8939,2770,1429
+,9989,1305,1738,5376
+,6912,6153,4890,3598
+,4391,8001,2182,430
+,3908,1653,3271,4854
+,557,2814,4489,8354
+,2790,32,7390,7366
-,961,0,0,0
+,332,3591,2020,2140
-,978,0,0,0
+,8877,8201,9251,2749
-,158,0,0,0
-,212,0,0,0
+,6954,5907,5061,591
-,493,0,0,0
+,5133,1651,2311,4803
+,5158,8166,1886,4542
+,2739,7721,835,4824
+,5988,836,7536,5072
+,171,9025,9209,6349
+,8141,9699,7462,9719
+,6353,1530,911,774
+,2104,7294,1452,2564
+,9816,3943,6209,6531
+,5411,3460,992,1007
+,2603,7935,788,2392
+,9131,8043,7678,1487
+,1462,4874,1832,4193
+,9436,2031,3764,9882
+,6241,6379,7628,566
+,9949,9125,5545,2835
+,3074,7592,7970,5681
+,4000,7979,8757,9787
+,8468,4943,406,3883
+,5431,9290,2831,411
+,4184,1403,8831,2877
-,789,0,0,0
+,8595,5143,8755,5852
+,3579,8309,2838,3877
+,9329,5851,7120,6360
+,9337,6986,7659,7684
+,8832,8318,449,9599
+,9267,9116,8080,2493
+,290,5940,5237,937
+,4451,9454,3658,7270
-,297,0,0,0
+,7879,1426,4002,3215
+,7787,6053,7803,2141
+,5443,6472,4135,5784
+,7765,1090,384,2578
+,2314,4257,1446,2786
+,953,3124,4493,3439
+,8401,6713,3771,2980
+,4895,5912,9167,5731
+,6082,3223,4742,8007
+,3484,748,8276,2448
+,9524,7854,618,8428
+,6776,2721,7820,915
+,980,2918,5582,1451
+,7444,4845,6811,8792
+,1513,1173,4682,4405
+,1006,6266,7807,9948
+,358,7482,228,1148
+,526,4046,188,5138
+,7286,5979,5179,6044
+,5925,8310,6499,9020
+,2486,706,7971,7789
-,509,0,0,0
+,8378,2898,8039,7183
+,2608,4083,9369,1374
+,4734,4744,6315,2844
+,2809,4275,7570,513
+,656,668,874,9865
+,316,2394,5996,4388
+,1325,3386,7907,4202
+,1925,8312,9549,6548
+,6642,5254,8227,1488
+,622,0,1862,9156
+,8831,4660,6493,6283
+,1365,7923,6224,7823
+,9150,1609,6946,7350
+,3939,1889,4973,8222
+,2853,9160,2087,3722
+,7255,6480,9641,1367
+,784,5772,1136,4725
+,5577,9201,9457,1408
+,3233,4288,9584,9234
-,484,0,0,0
+,8362,1658,6478,8201
+,8301,7397,3277,6626
+,8004,4610,7130,1895
+,2629,7732,6668,2296
+,3357,3860,4807,4983
+,6367,8669,3680,8781
-,199,0,0,0
+,7305,5127,2536,3980
+,1055,9828,3952,6875
+,4067,854,518,87
+,1725,14,7371,1653
+,7195,2423,4008,2430
+,6289,1380,7799,812
+,2188,5414,5377,6232
-,180,0,0,0
-,291,0,0,0
+,1985,2048,8715,434
+,2883,9048,7866,8863
-,400,0,0,0
+,8827,181,2518,374
+,5894,6988,7327,9555
+,5312,327,8899,1841
+,6368,6083,4146,9741
-,727,0,0,0
+,2080,4208,6651,4710
+,2882,9438,9013,1532
+,5535,1843,1451,4083
+,8204,4585,9531,5981
+,3122,4183,2818,5270
+,6823,2811,6456,7612
+,2617,5743,1645,8558
-,199,0,0,0
+,7562,8543,3153,5670
+,9736,3225,227,5869
+,7041,5841,6673,2116
+,1733,6237,7709,371
-,303,0,0,0
+,5073,3343,8866,809
+,5180,5690,6226,1160
-,84,0,0,0
+,9709,2245,7542,4678
+,3769,3459,8834,1181
+,5076,4325,5623,4131
+,1647,1399,9843,9728
+,6205,9183,1476,4343
+,6551,3321,7894,3419
+,3797,1948,992,6894
+,93,4235,2430,320
+,9408,2874,2799,3691
+,6091,8717,9650,4080
+,9076,9143,1469,279
+,7513,326,1043,3279
+,1483,8707,8239,6920
+,2762,2330,2840,2214
+,662,3358,1022,8554
+,6889,1885,5697,7873
+,938,5438,3523,8049
+,7023,1550,3452,4097
+,2186,6,5602,7217
-,531,0,0,0
+,6836,9550,9707,5992
+,331,152,6948,3354
+,1082,2337,1154,1793
+,5699,5682,8608,5601
+,9512,8536,853,1190
+,4095,8411,5309,489
+,6981,9940,5469,5062
+,5205,1211,9883,2137
+,1217,5637,4164,288
+,7882,6277,9285,9743
+,4296,1989,9815,3996
+,7131,5697,8636,9127
+,1808,3159,8712,5592
+,1533,7106,6071,6042
+,5959,6231,6577,5451
+,6504,6297,1538,5159
+,5671,5917,8491,3700
+,2291,3122,1563,4232
+,1593,605,4199,153
+,3618,7542,7572,3020
+,468,6643,3186,8162
+,1770,2682,5612,7656
+,542,5893,2625,5288
+,3846,7014,3848,5492
+,7901,8232,8147,1320
+,8939,5335,9274,6395
+,6965,4334,2006,5064
+,3413,2932,9688,4243
+,4555,4598,3565,1635
+,2630,723,8438,3783
+,7839,3670,3329,7640
+,8729,3852,4804,2755
+,7550,9704,3704,4516
+,6233,6365,4826,4203
+,676,5065,3392,8133
+,5587,3600,9825,2610
-,308,0,0,0
+,6424,8552,5842,6291
-,960,0,0,0
+,5440,9395,5055,3832
+,9675,1537,7270,6123
+,9493,4815,5265,9580
+,6016,4172,9647,8557
+,6561,331,4763,5869
+,4063,457,8518,9519
-,78,0,0,0
+,5427,9683,6176,4836
-,972,0,0,0
+,7915,7912,5711,5541
+,8800,8983,1342,2593
-,902,0,0,0
+,2766,7994,7025,3111
+,9537,471,5181,7794
+,4699,5317,3065,6996
+,4131,3674,8990,2904
+,7993,2336,7433,4993
+,4814,3544,8885,5117
+,7538,9608,1453,2746
+,4124,2705,9958,5789
+,3038,248,2357,917
+,5183,454,4273,7652
+,8325,6721,8468,1096
+,2818,323,2056,1249
+,7591,4860,9738,4985
+,5052,7382,9209,7993
+,1389,5198,2478,9440
+,6097,5571,5398,8367
+,6209,6985,4190,8850
