OP,A1,A2,A3,A4,A5,A6
+,9369,6307,5691,2413,3554,2692
+,6393,8468,6759,7800,2441,4000
+,3291,7247,7939,6666,1782,8199
-,414,0,0,0,0,0
-,56,0,0,0,0,0
+,8980,9009,8196,6130,4843,6428
+,3028,8791,1046,8628,2754,8038
+,3110,5225,682,9329,5528,1993
+,9624,5876,467,1429,1820,4084
+,3144,6930,2165,6052,670,5836
+,5372,7043,641,7205,7013,6985
+,9198,1352,5758,6785,1306,7630
+,6829,9401,2540,3047,6762,8121
+,1245,9888,2668,4295,9763,2051
+,1021,2047,9407,3558,3657,6480
+,1296,2843,1527,1424,4274,4304
+,2547,4641,1009,2461,7609,9847
+,4213,1074,2017,5239,4035,4335
+,8780,6283,8709,6091,290,8599
+,5382,181,3432,8230,4667,5388
-,98,0,0,0,0,0
-,828,0,0,0,0,0
+,198,3075,1915,5311,1509,1875
+,8703,7330,8900,1894,4822,5178
+,9631,2228,5824,2272,2104,8430
+,1892,528,6675,5433,7682,169
+,7829,4531,2318,7245,7877,8103
+,5858,2101,4691,6635,2982,8056
+,7954,9578,568,3650,4051,3449
+,7156,984,9342,7728,5619,7011
+,2980,6001,3669,3974,8421,296
+,170,379,5598,6130,2126,5975
+,5896,5448,5069,3924,1558,7297
+,2260,7608,3814,8207,710,2823
+,3081,8283,9070,9893,2353,4361
+,3321,7660,8373,3288,9157,5600
+,7881,2974,3420,9090,8072,4190
+,3971,3461,9551,7956,9794,7731
+,6572,2239,7989,1927,5889,2804
+,8140,5242,1079,4055,5537,7068
+,3932,5034,7092,8671,4313,808
-,233,0,0,0,0,0
+,9697,5630,4624,77,5573,3464
-,632,0,0,0,0,0
+,4274,6104,8229,4836,416,160
+,1727,4269,7655,6210,7563,3276
+,9935,6801,8216,6357,7089,2185
+,8227,3125,6843,5205,1880,4333
+,399,4439,8345,9043,5344,2605
+,9023,7797,6340,4475,5033,6806
-,429,0,0,0,0,0
+,2219,8115,7543,499,4471,9258
+,7355,5905,1978,8424,7781,4091
+,9471,1512,1952,7943,3609,2660
+,8399,1798,4083,7931,7580,5983
-,685,0,0,0,0,0
+,4085,210,6238,7569,9234,2017
+,6788,8809,2885,2759,8870,4174
+,7872,5293,3474,3758,7991,6059
+,6068,4621,8100,4832,9910,8736
+,1167,3,9417,2198,4321,5190
+,3176,6519,57,4690,2527,4529
+,1752,9409,5067,584,8854,1713
+,2520,7087,4782,4456,6296,4854
+,1186,6863,3174,9767,7391,362
+,4135,849,7119,6879,6328,4195
+,9733,1020,4527,2619,1396,4754
+,5385,3305,2124,2216,3999,6764
+,3060,795,9551,4525,8509,5503
+,9511,9796,8430,7346,998,1947
+,2696,1615,4850,9743,2391,1750
+,32,2969,8718,2887,5598,3577
+,1508,5954,6008,1601,4157,9056
+,6385,8880,603,5075,6830,8453
+,4169,6210,3507,521,2483,1788
-,820,0,0,0,0,0
+,1858,5407,4510,1191,8093,9630
-,13,0,0,0,0,0
+,3443,7087,2720,5536,3854,3354
-,711,0,0,0,0,0
-,775,0,0,0,0,0
+,4137,6279,3636,6344,3050,4812
+,3623,5010,6435,6250,3537,9606
+,2359,3205,9865,3286,2434,7661
-,486,0,0,0,0,0
+,7973,6453,7706,2662,1794,5868
-,469,0,0,0,0,0
+,7040,5666,8452,3421,4310,3374
+,5211,7415,9724,4647,8754,2629
+,8591,4765,2680,3610,1654,7842
+,3773,6345,4606,9785,5156,9427
+,344,2139,9008,8026,381,8919
-,423,0,0,0,0,0
+,2085,8482,2368,5562,4275,8922
+,6791,8665,9141,7428,4125,6911
+,2566,5850,492,6255,9348,189
+,9643,3982,5579,1675,5905,4781
+,2636,7710,4319,2128,7340,5373
+,3931,4638,9301,5070,6255,8708
+,7200,8081,2079,2798,4064,5454
+,7004,445,8051,2012,3608,2152
+,2888,4805,3477,564,502,8957
+,7772,8458,1412,4179,4784,8276
+,7107,1522,7519,9109,9984,1123
+,6474,9735,2422,5911,8817,7596
+,1213,7075,8592,5072,1744,4421
+,9399,5410,7012,4648,4612,4553
+,2318,5709,2036,4977,1839,889
+,7064,3013,8887,9105,3459,4078
+,208,8837,4997,4279,9536,6357
+,6717,5437,6116,9182,9680,9462
+,6642,4796,5647,7431,2072,2458
+,1816,1538,8894,7949,5117,5494
+,3763,6682,5869,7483,9264,4585
+,7550,2842,5400,6059,2092,2009
+,6022,2679,6697,166,9930,71
+,5990,5662,5120,763,9134,8935
-,303,0,0,0,0,0
+,6748,9588,2649,2098,7527,867
-,922,0,0,0,0,0
+,8629,1680,7686,3285,6967,454
+,7843,3170,4576,3583,369,195
+,7322,6626,2992,314,1634,4102
+,4546,958,5665,234,5923,405
+,1237,9584,8183,4328,6849,5255
+,8097,5266,5151,2704,4591,8252
+,4994,3731,4185,6572,5359,5368
+,1587,6580,4828,370,7173,5975
+,1485,3097,1878,8141,5275,5682
+,6216,4340,4983,3558,3351,2291
+,1285,3823,7726,1174,9567,3398
+,7262,2102,9290,7324,8513,6838
+,55,2963,5430,9102,3956,5184
+,2119,4585,9285,2203,802,2542
+,7553,2706,9695,6428,4301,9888
+,3630,3562,8194,9210,5560,3932
-,94,0,0,0,0,0
+,3236,9501,5209,6599,2720,2128
+,2698,8109,3945,513,5254,3884
+,460,313,8829,2640,8095,9177
+,2586,8154,4518,6432,6902,7459
+,9594,6810,8951,4700,3563,3426
+,6004,4622,1394,9153,9724,4414
+,5887,3965,5189,8307,9439,4987
+,4224,8175,9822,5960,5291,7982
+,6346,3273,9386,999,3378,8939
+,5156,8515,2968,1490,984,647
+,5366,9840,3940,6330,5641,3629
-,697,0,0,0,0,0
+,6548,2598,8041,8964,5839,722
+,5187,1547,5417,2740,7469,2329
+,7432,5047,201,8935,4719,7957
+,1937,6441,5856,3776,4084,1325
+,3847,664,8700,2434,4240,9870
-,562,0,0,0,0,0
+,3464,8367,6040,9590,413,8552
+,7487,8647,9938,734,7468,2155
+,9218,5277,1782,3133,8830,4393
+,9269,7200,4722,8191,75,443
+,3622,9659,1770,5345,485,9997
+,1125,8528,8678,3951,9616,4693
+,9465,7969,2856,4527,2170,1895
+,9612,8537,6194,5731,2706,8966
+,2902,2564,9189,294,1408,7328
+,6598,3002,829,2807,5906,4589
+,9879,7393,6195,1314,5414,2785
+,6998,6888,2365,5183,7110,135
+,6988,1942,4886,4616,4696,42
+,5436,7677,7169,8382,6294,2878
+,1661,926,4445,9580,4396,696
+,4766,4611,9732,7384,2065,50
+,1551,1656,1478,5015,3299,3986
+,881,8214,6488,5206,8951,8141
+,946,7924,7074,1732,1206,2129
+,2379,5211,1223,653,7250,4412
+,851,6776,942,8569,8416,8000
+,8401,5980,1918,4018,7222,400
+,2721,5507,8349,5307,5670,8952
+,798,4080,5420,2768,6424,8407
+,2048,6275,2052,8238,4667,7349
+,918,5728,1609,3553,6368,2593
+,6978,6465,9553,9531,6602,4322
+,6278,329,8016,1664,6763,1179
+,398,2988,5535,3130,3162,2361
+,8525,9489,8478,7385,748,7700
+,7272,9587,2950,5452,1996,1410
+,9058,9584,5410,3842,6281,1082
+,1427,8121,2245,8474,1009,8577
+,5526,8158,6473,3483,5225,1012
+,3602,5016,4275,2482,6144,5175
+,4334,6882,7613,9603,6650,9842
+,9258,4739,5467,348,2001,5429
+,8222,933,9338,2858,3055,7783
+,5247,7714,4879,1728,4430,116
+,3031,4383,3353,8620,582,5724
-,803,0,0,0,0,0
+,8189,4729,1717,428,5082,3000
+,6056,8967,4697,7606,5358,3535
+,2815,3702,898,6939,7505,313
+,6177,4428,1075,6760,4669,2668
+,804,9611,8713,3655,1113,9312
+,602,6327,7451,3135,5943,8439
+,5824,4263,4161,417,9497,2135
+,613,5790,4800,5471,4431,6189
+,5952,2346,4985,4128,4173,3096
+,3222,9735,2685,8529,4057,3396
+,5613,5334,9075,1945,6358,2953
-,706,0,0,0,0,0
+,3966,733,3485,4774,2116,7004
+,4065,1657,5770,1140,5800,9556
+,3696,5707,6737,8162,1367,1101
+,7511,294,9279,5790,733,304
+,8673,4074,9594,5552,3209,819
+,8653,2171,2823,8126,4602,9518
+,5223,767,8571,5374,7922,8835
+,75,6514,46,3982,6621,4195
+,3587,7550,6109,507,719,4542
+,5945,9883,6877,4819,8548,4596
+,5516,1623,1664,6135,9689,7082
-,198,0,0,0,0,0
+,2938,8667,8374,5192,8225,3379
+,8011,6893,5763,9325,5114,5128
+,8855,8948,8501,4125,1831,4845
+,9532,4667,7768,2493,3679,4447
+,7532,3500,1461,9074,874,4944
+,3414,6269,8993,24,96,2871
+,3578,5922,5314,5699,8657,6043
+,2134,4123,4875,1059,8568,4138
+,6926,7901,2476,8104,2576,1722
+,7574,1345,3753,6245,7648,8068
+,8848,3805,6450,3142,7138,3324
+,9591,1502,9682,2509,955,360
+,2862,9716,9017,5877,3818,8857
+,9817,5013,4284,9767,611,3326
+,555,5,4322,5610,8430,856
+,3181,3845,5380,6124,4530,1089
+,6684,1828,6885,8478,90,7450
+,207,2415,2017,1337,5471,7101
+,1477,1298,4923,5903,8481,5924
-,984,0,0,0,0,0
+,4670,1515,2219,8348,1620,8108
+,1698,341,1454,7776,5692,6017
+,8891,7914,9455,2658,343,5239
+,2416,8440,7760,7016,4240,4767
+,1322,6410,7835,9242,562,5996
-,831,0,0,0,0,0
+,3086,3155,1994,7056,4228,2458
+,8589,1512,9464,9419,2870,160
+,3660,471,8758,9830,5203,7779
+,3001,838,7413,6365,8191,4945
+,1601,9428,6548,5438,7601,3221
+,2931,4219,939,1239,3424,2205
+,7936,5890,4236,4224,5027,3824
+,9081,8892,8282,8550,5053,5205
+,4757,6057,7072,8591,7891,8327
+,171,9223,218,8826,8728,6558
+,1195,4967,9752,7818,7932,1154
+,4488,9182,6933,8789,231,1868
+,4998,8179,479,5133,7618,1499
+,4681,4447,5105,365,9649,8293
+,6732,3635,7794,7178,5082,4660
+,6187,1557,5999,6890,6320,3609
+,8906,6077,5720,8916,7338,9811
+,6013,6816,6309,1374,3455,8177
+,5051,8024,695,1009,9959,7196
+,4483,390,9406,5508,3916,1668
+,9320,4827,6499,7108,8710,4327
+,8162,2158,3129,4695,594,6067
+,7785,2408,821,710,7590,7235
+,1773,7008,8121,5667,6451,8068
+,8283,9583,2848,8211,3436,535
+,3547,3864,8986,4809,6984,5656
+,1094,6428,2703,1967,5121,2558
+,6709,2762,3460,2754,5893,7650
+,4523,2433,4466,3182,3527,8655
+,4261,8790,421,2924,3149,9199
+,4965,8603,4516,8764,8851,8192
+,3506,7082,3458,4228,2126,4973
+,3894,5460,2212,2386,524,3858
-,218,0,0,0,0,0
+,6864,1725,7613,8901,9843,6030
+,7310,7329,3368,5036,505,3586
+,5215,47,2882,778,4112,3886
+,6950,9961,2228,2277,2950,8361
+,862,2894,1777,185,8641,2094
+,8474,7166,2409,774,1404,5169
+,2282,8445,8684,3743,5400,6960
+,4327,5659,2681,7915,4094,8415
-,439,0,0,0,0,0
+,6952,125,9151,5579,7350,2004
+,3140,1298,822,1035,4303,7312
-,804,0,0,0,0,0
+,2525,6110,3328,3712,4826,1349
+,5186,8397,4910,4162,4180,3671
+,4992,8940,5853,8525,6467,3941
+,1243,987,5381,3599,2226,6712
+,5241,4078,8089,6119,1677,7058
-,199,0,0,0,0,0
+,1081,8822,7315,1322,2194,5221
+,2793,1772,4848,9207,4900,8824
+,101,5531,11,2951,9198,1657
+,3395,1504,2772,520,3983,6920
+,9526,2352,6734,1057,2764,4019
+,8128,8232,5797,2007,4232,9270
+,8646,6363,1971,6956,6709,6056
+,7806,4439,5586,5510,7889,7573
+,1744,2614,9122,3777,6542,6997
+,3576,1713,612,8030,6739,4512
+,2983,8046,9817,5964,8359,1578
+,8695,1593,2692,823,6962,1711
+,7870,1540,7189,2031,7371,9738
+,9855,7201,966,9494,2978,4551
+,6492,7975,2086,7694,7891,860
-,60,0,0,0,0,0
+,4084,9014,1034,1381,698,2065
+,7827,2409,1880,6534,1936,1538
+,9,8002,2305,6839,9777,3160
+,199,6186,8022,2006,5516,1068
+,5337,7852,2716,9764,5850,4998
+,4736,9855,1761,1350,589,6278
+,2174,178,5293,2462,4209,8152
+,9730,9144,916,4160,4645,5430
-,461,0,0,0,0,0
+,4034,2830,5833,4473,9143,3265
+,2720,7515,1634,6364,6320,9322
+,1372,7321,2597,7438,2682,1487
+,508,6571,9412,5141,3155,9375
+,7073,690,9882,7138,2607,4666
+,6798,3956,284,4153,682,1125
-,620,0,0,0,0,0
+,6939,6467,1249,7755,785,8867
+,1586,2580,4351,7471,9819,8984
+,3673,8795,3063,8548,1854,4206
+,7783,7743,8540,8033,6435,6158
+,8246,9098,8016,47,378,312
+,7290,5858,2004,1186,8044,5840
+,1577,1580,3967,9373,9619,7951
+,643,3132,8109,4323,8474,7774
+,8726,5424,9774,4588,8881,7753
+,1723,2972,3930,4225,131,3524
+,8754,5730,2478,6715,2613,7875
+,3935,4167,9649,1503,9994,395
+,5509,815,5461,1250,1568,8988
+,9856,6956,81,7659,8467,9752
+,4710,1237,8058,2551,7738,644
-,183,0,0,0,0,0
+,4859,3734,7789,2438,211,4767
+,5312,323,6433,268,1784,6517
+,2488,7773,4006,7132,9926,5600
+,4474,6099,7417,8555,5309,3545
+,4354,5720,8067,9639,8598,9438
-,665,0,0,0,0,0
+,2534,5929,2433,2449,4424,4822
+,597,6893,4931,7179,900,7022
+,5599,2316,3390,4043,1451,3173
+,7337,2407,4400,2621,7438,4428
+,505,7074,8618,1913,1656,3867
+,5993,9860,1420,8040,3436,2853
+,6464,821,6900,3636,3012,8331
+,6106,8539,5396,734,3423,7943
+,9079,5048,127,3126,1191,1834
+,6947,6651,8636,1186,6747,1754
+,6697,1690,4023,900,38,1657
+,6301,9299,7269,9703,2726,1016
+,5699,378,693,6524,9653,13
-,535,0,0,0,0,0
+,4744,7144,2207,2895,3991,8679
+,1945,2214,4522,6262,6765,3182
+,322,9996,6016,1408,838,3863
+,130,8452,9499,5129,7004,6654
+,7175,1113,7366,6772,3592,8776
+,434,7334,8316,2011,6463,2818
+,8252,6212,7274,1871,8125,4228
+,68,207,5252,7671,6945,5913
+,8725,8913,4152,5002,1302,1399
+,1653,2038,6559,4353,4472,2759
+,8931,6962,2932,5195,5059,1588
+,3909,680,979,1222,770,5268
+,885,4733,1349,2239,9213,7349
+,6876,3862,1624,2543,7228,1978
+,6527,2030,8509,6334,8577,7576
+,1926,8522,5345,6723,9359,434
+,3364,894,3070,5088,5751,3444
+,6824,4838,9054,2095,6502,5653
+,8896,4030,8693,271,6832,6869
+,2623,3036,2039,3995,826,5492
+,9319,8091,4490,922,9591,3838
+,4883,1526,5629,3845,7054,184
+,4798,9697,4511,8008,6229,5588
+,4441,5353,4012,929,2120,1500
+,1047,5310,3871,6342,4986,5525
+,86,5268,3299,122,4845,8088
+,8241,4896,5191,7573,5481,7747
+,1546,9460,6720,5573,7447,4153
+,3088,3775,9432,3847,1301,245
+,8546,5789,2907,5487,1458,250
+,8028,7160,5804,9858,3862,6013
+,6696,2324,1709,2453,8979,444
+,578,5533,9587,5264,7476,8298
+,5386,4221,6896,9302,5677,158
+,6962,5269,4952,7418,6815,3652
+,1324,4223,5655,8227,6765,6829
+,8544,7517,482,8114,5277,3075
+,4603,7049,6038,9089,7152,4603
+,626,4463,2257,4642,6086,7886
+,5383,5008,28,6721,577,5176
+,8215,7919,9124,9597,7604,412
+,9106,1791,9395,671,5227,9856
-,980,0,0,0,0,0
+,5786,6762,361,5252,8863,7323
-,946,0,0,0,0,0
+,6944,3433,1139,9628,9323,8079
-,671,0,0,0,0,0
+,6681,9478,7212,948,9858,1112
-,602,0,0,0,0,0
+,8116,4627,8622,5218,3078,2641
+,7256,5780,5869,5636,5791,82
+,9462,5470,4178,4567,8241,7716
+,3303,5295,3551,6618,568,461
+,5593,4737,7188,9436,2158,7063
+,3553,4653,6503,56,4224,777
+,9060,5050,2524,8737,9678,8737
+,9627,5625,6659,1858,425,5078
+,1953,882,8994,6590,1587,1456
-,567,0,0,0,0,0
+,4905,577,7092,1995,3508,7757
+,2840,2649,1430,30,6106,5817
+,4547,7601,5863,6524,9035,5042
+,8298,2824,2010,5204,5011,6759
+,5439,1291,5451,870,3204,8636
+,7399,4118,1526,1280,5230,1515
+,350,2527,2578,4798,9572,3587
+,7676,1433,810,2673,9513,6093
-,119,0,0,0,0,0
+,4273,2666,4670,9773,5433,8616
+,9931,9230,3749,6922,5463,8950
-,70,0,0,0,0,0
+,6607,2273,8858,4927,774,1277
+,6631,3800,4374,5580,9472,8530
+,4709,4426,2333,5646,4387,6077
-,183,0,0,0,0,0
+,9540,177,632,4856,2184,7924
+,6486,8819,930,8479,7522,9325
+,2738,4283,237,7304,6361,8179
+,7115,7263,2315,3502,576,4592
+,3380,7853,2900,3740,8346,7433
+,742,566,4046,2664,5456,1043
+,3400,7141,668,7151,2819,2585
+,3706,1652,8170,2742,4123,9075
+,3619,5998,5063,807,2944,9061
+,1033,148,777,156,2042,4401
+,8883,8138,480,7018,6695,4230
+,2105,4968,8346,6994,5607,3952
-,479,0,0,0,0,0
+,6528,6193,3191,2586,7067,4007
+,5775,1579,1051,4748,6130,1894
+,1655,6038,4997,3459,6772,105
+,3895,5602,3493,5472,8242,1284
+,8849,2809,2745,6362,9281,7348
+,719,3057,4251,8930,815,980
+,1952,5078,1389,4919,6283,2330
-,696,0,0,0,0,0
+,2345,5853,8638,9437,8637,8081
+,1150,2377,9586,8122,5914,5465
+,2692,7863,3586,2697,8654,4175
+,8418,9839,1276,1526,3918,2550
+,8309,6402,608,8057,8477,3351
+,8941,3729,6642,905,8663,8836
-,290,0,0,0,0,0
+,6746,4028,4943,7908,8944,542
+,6196,7429,9510,5213,4014,8259
+,4015,2590,5141,8021,7731,9615
+,7518,354,6353,4042,2910,7055
+,9520,9142,4997,1266,7033,8094
+,4108,3978,1536,8043,8415,7867
+,7234,8866,1814,2184,2859,5792
+,2295,4520,9486,4554,6616,1472
+,6886,655,7663,4461,6162,7915
+,2035,8867,741,3046,549,202
+,2342,7694,84,21,1445,418
+,9542,4159,4279,134,9532,2266
+,88,5420,339,4215,3443,4616
+,3732,1139,5306,4110,2426,757
+,342,347,8988,8408,9034,2504
+,1273,3455,1962,7717,994,7798
+,4668,891,2865,8562,3403,669
+,135,882,1079,8732,8577,7356
-,395,0,0,0,0,0
+,4825,7589,8837,802,7112,7064
+,2234,8335,5248,5864,4026,5251
+,3480,9318,3706,1181,205,7194
+,2033,7586,9752,8096,4651,1690
+,9691,8972,7388,9456,9224,5650
+,5307,3977,2413,5383,4148,6247
+,2789,1008,204,8146,5954,8952
+,4636,2686,5047,6938,8847,160
+,5985,3100,7218,2694,2823,9129
+,9065,6565,1641,6484,3419,5445
+,4956,7868,7222,2531,6764,44
-,910,0,0,0,0,0
+,4365,418,8049,5863,2854,8946
+,5665,4817,8859,7047,3181,3102
+,9615,6732,1900,8770,1645,8935
+,1552,9077,2311,2272,5301,1567
+,607,676,7397,8609,6170,5569
+,849,4632,7795,9514,7493,8406
+,4875,3086,375,6131,3762,1406
+,5069,1455,4672,3267,7172,6192
+,4726,5819,3250,6085,7664,828
+,9168,3995,6671,595,4346,4239
+,6644,9178,6474,773,1189,3750
+,323,3896,4877,9836,583,4243
+,3284,5836,8224,4543,5384,6611
+,6140,956,9233,2002,8130,1529
+,6298,5386,8098,3481,6207,2284
+,6633,5424,5562,2013,5384,8794
+,7276,1574,2780,4909,4182,3787
-,960,0,0,0,0,0
+,6826,504,9798,7251,4987,329
-,782,0,0,0,0,0
+,8314,8276,1401,4470,2580,798
+,1137,2968,8922,9139,5287,842
+,137,1131,9650,4613,9390,6147
+,5912,8280,1678,9040,1981,6573
+,6386,4254,7048,1340,8408,3700
+,2278,9595,2252,9177,8495,4905
+,7410,7269,6699,4140,1036,8702
+,1963,5692,8932,9675,7079,7511
+,1064,5322,6585,679,4728,7782
+,6089,2550,6478,1575,4913,6718
+,3998,9583,4714,3532,2830,1664
+,1075,2923,3545,3583,7876,5831
+,5647,264,1346,1910,9204,8999
+,7092,8845,8592,507,2190,8068
+,2413,9146,7420,3098,4030,9208
+,8216,6132,6262,6095,8644,1620
+,1921,5838,4161,5971,9472,7
+,525,2786,6449,5585,2037,3717
+,6310,2419,5676,5181,306,1731
+,5331,2692,1876,2418,4343,9550
+,8295,4536,4989,1122,6573,2557
+,8141,100,7403,2515,5497,9166
+,3841,7256,8063,7245,5544,7463
+,2399,2346,8437,3678,1325,1183
+,6015,5650,2451,6727,7270,4782
+,439,792,2281,4451,5077,7138
+,6108,31,2649,4428,3437,7363
+,2922,1252,8039,266,3049,4648
+,3636,6007,6133,6153,5011,234
+,9225,5014,554,8530,9954,6361
+,4314,2731,413,3878,9929,3453
+,8722,3862,9164,1102,6246,7346
+,8562,484,2871,2721,9675,4905
+,5608,5429,6369,6723,1816,8856
+,5452,53,7177,9315,5305,6370
+,8429,580,5302,7034,2066,6722
+,2233,169,7900,5767,1341,2522
+,8441,674,2742,270,712,8197
+,6295,7053,2077,8082,4583,6342
+,7143,4321,2054,2244,9001,9233
+,4614,9336,1066,2228,8153,8083
+,8334,3882,1476,1084,4873,3951
+,6441,5834,1787,5186,5847,9425
+,4694,6837,7428,9727,7024,1976
+,7896,5823,7088,8266,8800,6682
+,4758,7587,5642,1269,3690,639
+,9019,490,1794,4533,6679,9008
+,7221,9380,7282,8723,7127,8558
+,8930,8027,2373,1307,6429,5340
+,4238,4640,5014,5646,5091,4961
+,2338,9934,2751,139,3138,1533
+,6429,9900,3057,9480,6159,1036
+,864,4966,82,6414,799,5484
+,5468,8662,1129,1556,7105,2145
+,3362,4740,153,5160,8119,977
-,468,0,0,0,0,0
+,6326,2141,4828,2861,4903,4519
+,1520,5188,7049,5291,3353,7680
+,6610,2980,7437,6124,8335,9090
+,6846,37,1171,3519,1486,3859
+,1465,497,4653,9845,7603,5990
-,448,0,0,0,0,0
-,67,0,0,0,0,0
+,9598,7347,8571,4736,6763,3576
+,6917,2715,5197,6672,6317,6224
+,7203,9847,6684,9195,4122,6309
+,6207,7976,9612,667,5388,7168
+,7542,6738,1817,2057,8110,514
+,1669,8151,6197,4967,7574,1138
+,1510,1437,4426,2754,3902,1714
+,7003,9404,3013,7534,1494,5342
+,2325,6493,1335,4207,2093,9213
+,347,4819,8159,8817,2658,1897
+,7833,216,7163,2834,7854,170
+,1688,3618,8292,5450,5702,9634
+,3442,4184,4435,7866,5766,3987
+,9115,2002,7664,6806,1832,6368
+,4955,7879,474,5461,248,4184
+,7447,8951,4970,2193,115,7895
-,973,0,0,0,0,0
+,6580,1203,8094,2453,6543,1587
+,8631,528,5967,3962,8392,2397
+,1072,163,5814,2833,3882,1002
+,1779,866,2418,3223,5936,6896
+,1598,4188,9322,2057,1447,2424
+,1297,3563,5356,9877,7437,6161
+,8398,6381,4266,5377,4731,1035
+,6246,3068,6150,6998,2559,6063
+,4095,6870,5236,7549,9447,8107
+,5042,866,7292,1254,9131,6084
-,640,0,0,0,0,0
+,3993,6501,3649,398,6759,1639
+,3000,286,9934,1287,8602,6034
+,6314,8449,7187,9023,2923,5309
+,3674,9194,151,8854,618,6754
+,8313,9120,1029,2277,5952,356
+,3631,3736,748,4489,5863,2791
+,3184,5303,5037,749,1404,3299
+,654,7386,7484,6342,8074,2913
+,3461,6528,8183,7995,2399,147
+,6411,2517,6560,9412,7817,1272
+,8934,2663,693,6859,7395,1459
+,5684,5606,1810,9917,3491,7351
+,4553,3186,6861,2282,7960,7552
+,9517,6430,4741,6895,5304,3897
+,573,6163,4397,9761,5505,7002
+,9045,7756,6064,886,3649,3250
+,3125,2837,5872,4647,8706,8461
+,6825,3483,7970,3213,9497,3069
-,847,0,0,0,0,0
+,1845,9295,1895,1293,1790,566
+,5188,9278,1217,4008,4842,9980
+,2866,248,1676,9862,6630,1450
-,831,0,0,0,0,0
+,9459,5262,559,5354,3697,7343
+,4841,1630,3269,7998,5988,7501
+,4884,9061,6524,7315,7164,9594
+,9501,3134,6874,1736,7662,1428
+,799,8,6097,5460,1597,5031
+,3981,3919,4099,9561,1133,1133
+,3433,6739,9454,9114,9624,7124
+,9281,7980,5419,9030,6484,2310
+,3752,3631,254,6898,6698,9069
+,1399,2836,6080,8300,5370,3840
-,943,0,0,0,0,0
+,9249,777,4147,5092,8563,8522
+,100,7631,3758,9128,2131,3761
+,2827,5545,9063,8016,7776,7905
+,6630,2212,2492,4234,4067,8739
+,7917,928,3087,7370,1171,5438
